Frequency(GHz) phase_difference
0.00000000 0.00000000
0.00500501 0.09271596
0.01001002 0.18011352
0.01501503 0.26634199
0.02002004 0.35305423
0.02502505 0.44098672
0.03003006 0.52882938
0.03503507 0.61659188
0.04004008 0.70428518
0.04504509 0.79192186
0.05005010 0.87951588
0.05505511 0.96708214
0.06006012 1.05463594
0.06506513 1.14219254
0.07007014 1.22976684
0.07507515 1.31737311
0.08008016 1.40502487
0.08508517 1.49273480
0.09009018 1.58051478
0.09509519 1.66837585
0.10010020 1.75632834
0.10510521 1.84438189
0.11011022 1.93254556
0.11511523 2.02082789
0.12012024 2.10923695
0.12512525 2.19778045
0.13013026 2.28646578
0.13513527 2.37530005
0.14014028 2.46429014
0.14514529 2.55344275
0.15015030 2.64276445
0.15515531 2.73226166
0.16016032 2.82194073
0.16516533 2.91180790
0.17017034 3.00186939
0.17517535 3.09213137
0.18018036 3.18259995
0.18518537 3.27328127
0.19019038 3.36418142
0.19519539 3.45530652
0.20020040 3.54666267
0.20520541 3.63825599
0.21021042 3.73009262
0.21521543 3.82217872
0.22022044 3.91452047
0.22522545 4.00712409
0.23023046 4.09999581
0.23523547 4.19314190
0.24024048 4.28656868
0.24524549 4.38028248
0.25025050 4.47428969
0.25525551 4.56859673
0.26026052 4.66321008
0.26526553 4.75813623
0.27027054 4.85338175
0.27527555 4.94895324
0.28028056 5.04485734
0.28528557 5.14110077
0.29029058 5.23769026
0.29529559 5.33463263
0.30030060 5.43193473
0.30530561 5.52960346
0.31031062 5.62764581
0.31531563 5.72606878
0.32032064 5.82487947
0.32532565 5.92408502
0.33033066 6.02369263
0.33533567 6.12370956
0.34034068 6.22414316
0.34534569 6.32500081
0.35035070 6.42628997
0.35535571 6.52801818
0.36036072 6.63019303
0.36536573 6.73282220
0.37037074 6.83591342
0.37537575 6.93947452
0.38038076 7.04351337
0.38538577 7.14803796
0.39039078 7.25305631
0.39539579 7.35857656
0.40040080 7.46460691
0.40540581 7.57115564
0.41041082 7.67823113
0.41541583 7.78584183
0.42042084 7.89399628
0.42542585 8.00270312
0.43043086 8.11197106
0.43543587 8.22180891
0.44044088 8.33222559
0.44544589 8.44323010
0.45045090 8.55483147
0.45545591 8.66703901
0.46046092 8.77986196
0.46546593 8.89330972
0.47047094 9.00739178
0.47547595 9.12211776
0.48048096 9.23749736
0.48548597 9.35354040
0.49049098 9.47025682
0.49549599 9.58765665
0.50050100 9.70575005
0.50550601 9.82454730
0.51051102 9.94405878
0.51551603 10.06429500
0.52052104 10.18526658
0.52552605 10.30698429
0.53053106 10.42945900
0.53553607 10.55270170
0.54054108 10.67672354
0.54554609 10.80153578
0.55055110 10.92714980
0.55555611 11.05357714
0.56056112 11.18082946
0.56556613 11.30891857
0.57057114 11.43785640
0.57557615 11.56765505
0.58058116 11.69832674
0.58558617 11.82988384
0.59059118 11.96233892
0.59559619 12.09570457
0.60060120 12.22999365
0.60560621 12.36521914
0.61061122 12.50139416
0.61561623 12.63853202
0.62062124 12.77664615
0.62562625 12.91575017
0.63063126 13.05585785
0.63563627 13.19698313
0.64064128 13.33914011
0.64564629 13.48234307
0.65065130 13.62660645
0.65565631 13.77194487
0.66066132 13.91837312
0.66566633 14.06590616
0.67067134 14.21455914
0.67567635 14.36434738
0.68068136 14.51528639
0.68568637 14.66739186
0.69069138 14.82067965
0.69569639 14.97516582
0.70070140 15.13086663
0.70570641 15.28779849
0.71071142 15.44597804
0.71571643 15.60542210
0.72072144 15.76614766
0.72572645 15.92817193
0.73073146 16.09151230
