Frequency(GHz) s21_phase
0.0 0.0
0.00500501 -0.48403466288071434
0.01001002 -0.930374363922427
0.01501503 -1.3861995587227338
0.020020040000000003 -1.8414703305289988
0.02502505 -2.2961043976683753
0.03003006 -2.749521420680556
0.03503507000000001 -3.201846755029995
0.040040080000000006 -3.6531611760655855
0.04504509000000001 -4.1035180705497
0.0500501 -4.552952740809516
0.05505511 -5.001487856243064
0.06006012 -5.449136872378527
0.06506513000000001 -5.895906283844078
0.07007014000000002 -6.3417971977848655
0.07507514999999998 -6.786806474772135
0.08008016000000001 -7.2309275818074275
0.08508516999999999 -7.6741512535405985
0.09009018 -8.116466014223267
0.09509519000000001 -8.55785859246778
0.1001002 -8.998314260727449
0.10510521 -9.437817111592008
0.11011022 -9.876350286675063
0.11511523 -10.313896166727883
0.12012024 -10.750436529792212
0.12512525 -11.185952685702224
0.13013026 -11.620425588651988
0.13513527 -12.053835932245484
0.14014028 -12.486164233973271
0.14514529 -12.917390903462955
0.1501503 -13.347496303909388
0.15515531 -13.776460805818273
0.16016032000000002 -14.204264830994907
0.16516533000000003 -14.630888894396035
0.17017034 -15.056313637514595
0.17517535 -15.480519860267318
0.18018036 -15.903488547513222
0.18518537 -16.325200893503425
0.19019038 -16.745638322048126
0.19519539 -17.164782505698188
0.20020040000000003 -17.58261538283369
0.20520541000000003 -17.999119170631353
0.21021042000000004 -18.414276379372268
0.21521543 -18.828069822834944
0.22022044 -19.240482628294036
0.22522545 -19.651498245474
0.23023046 -20.061100453388228
0.23523547 -20.469273367232123
0.24024048 -20.8760014435
0.24524549 -21.281269484524508
0.2502505 -21.685062642505223
0.25525551 -22.08736642185543
0.26026052 -22.4881666817266
0.26526553 -22.88744963768724
0.27027054 -23.285201862566876
0.27527555 -23.681410286676424
0.28028056 -24.07606219776433
0.28528557 -24.46914524026174
0.29029058 -24.86064741436184
0.29529559 -25.25055707397748
0.3003006 -25.63886292517532
0.30530561 -26.025554023349127
0.31031062 -26.41061977090366
0.31531563 -26.794049913574703
0.32032064000000005 -27.17583453757386
0.3253256500000001 -27.555964064923202
0.33033066000000005 -27.934429250716203
0.3353356700000001 -28.311221177535526
0.34034068 -28.686331251515828
0.34534569 -29.05975119750708
0.35035070000000007 -29.431473053726528
0.35535571000000005 -29.801489166763464
0.36036072 -30.169792186296252
0.36536573 -30.53637505892722
0.37037074 -30.901231022933548
0.37537575 -31.26435360217973
0.38038076 -31.6257365998299
0.38538577 -31.985374092425555
0.39039078 -32.34326042341841
0.39539579 -32.699390196589974
0.40040080000000006 -33.05375826998681
0.40540581 -33.406359748699444
0.41041082000000007 -33.75718997855755
0.41541583000000004 -34.10624453929752
0.4204208400000001 -34.453519237599025
0.42542585 -34.79901010039192
0.43043086 -35.1427133678331
0.43543587 -35.484625486207094
0.44044088000000003 -35.824743101176644
0.44544589 -36.16306305066839
0.45045090000000004 -36.49958235776245
0.4554559100000001 -36.83429822376748
0.46046092000000005 -37.167208021091646
0.4654659300000001 -37.498309286241486
0.47047094 -37.82759971290022
0.47547595 -38.15507714463527
0.48048096 -38.48073956816969
0.48548597 -38.80458510621769
0.49049098 -39.12661201077166
0.49549599 -39.44681865586195
0.500501 -39.76520353091148
0.50550601 -40.08176523402162
0.51051102 -40.39650246468618
0.51551603 -40.70941401766747
0.52052104 -41.0204987758263
0.52552605 -41.329755703732424
0.53053106 -41.637183841060114
0.53553607 -41.94278229593868
0.54054108 -42.24655023879803
0.54554609 -42.548486895594856
0.5505511 -42.848591541752526
0.55555611 -43.14686349593304
0.56056112 -43.4433021137052
0.5655661299999999 -43.737906781544694
0.57057114 -44.030676910954405
0.5755761500000001 -44.321611932180616
0.58058116 -44.610711288730634
0.58558617 -44.8979744314023
0.59059118 -45.18340076711253
0.59559619 -45.46698983546404
0.6006012 -45.748741029964805
0.60560621 -46.0286537748682
0.61061122 -46.306727474155934
0.61561623 -46.58296150656015
0.62062124 -46.857355220155064
0.62562625 -47.1299079275715
0.63063126 -47.40061890086424
0.63563627 -47.669487366791245
0.6406412800000001 -47.936512502127606
0.64564629 -48.20169342895452
0.6506513000000002 -48.465029210222994
0.65565631 -48.72651884524395
0.6606613200000001 -48.98616126558624
0.66566633 -49.24395533066939
0.6706713400000002 -49.49989982387836
0.67567635 -49.753993448538715
0.68068136 -50.00623482419193
0.68568637 -50.25662248269781
0.69069138 -50.50515486486064
0.69569639 -50.751830316928206
0.7007014000000001 -50.99664708715543
0.70570641 -51.23960332289808
0.7107114200000001 -51.48069706726555
0.71571643 -51.719926256406
0.72072144 -51.95728871673496
0.7257264499999999 -52.19278216230079
0.7307314599999999 -52.426404192409315
0.73573647 -52.658152289139416
0.74074148 -52.88802381548038
0.74574649 -53.1160160131793
0.7507514999999999 -53.34212600104237
0.7557565099999999 -53.56635077327866
0.76076152 -53.78868719814747
0.76576653 -54.009132016651385
0.77077154 -54.22768184153357
0.7757765499999999 -54.44433315644089
0.7807815599999999 -54.6590823152773
0.7857865699999999 -54.87192554187223
0.7907915799999998 -55.08285892965999
0.7957965900000001 -55.29187844191362
0.8008016000000001 -55.4989799118708
0.8058066099999999 -55.70415904338705
0.8108116199999998 -55.90741141169461
0.8158166300000002 -56.10873246448851
0.8208216400000001 -56.308117523254715
0.8258266500000001 -56.50556178497052
0.8308316600000001 -56.701060323967795
0.8358366700000002 -56.894608094274055
