freq	phase(S(3,1))
0.00000000000000000E0	0.00000000000000000E0
5.00501000000000040E6	-5.76750620140243342E-1
1.00100200000000017E7	-1.11048788624618844E0
1.50150300000000003E7	-1.65254155342976206E0
2.00200400000000034E7	-2.19452455667986390E0
2.50250500000000020E7	-2.73709112195878568E0
3.00300600000000006E7	-3.27835080557596559E0
3.50350700000000037E7	-3.81843863946530826E0
4.00400800000000068E7	-4.35744635651376822E0
4.50450900000000054E7	-4.89543992658518157E0
5.00501000000000040E7	-5.43246862069036407E0
5.50551100000000027E7	-5.96856999548732148E0
6.00601200000000013E7	-6.50377280761923782E0
6.50651300000000088E7	-7.03809882098266026E0
7.00701400000000074E7	-7.57156403416128398E0
7.50751499999999972E7	-8.10417958235404967E0
8.00801600000000136E7	-8.63595244769670600E0
8.50851699999999944E7	-9.16688605562519498E0
9.00901800000000108E7	-9.69698078979363665E0
9.50951900000000094E7	-1.02262344394245575E1
1.00100200000000017E8	-1.07546425960961800E1
1.05105210000000016E8	-1.12821990006737094E1
1.10110220000000014E8	-1.18088958480126727E1
1.15115230000000013E8	-1.23347240525720858E1
1.20120240000000011E8	-1.28596734783010902E1
1.25125250000000010E8	-1.33837331391622261E1
1.30130260000000009E8	-1.39068913710907927E1
1.35135270000000007E8	-1.44291359795851282E1
1.40140280000000006E8	-1.49504543700997639E1
1.45145290000000005E8	-1.54708336560191606E1
1.50150300000000003E8	-1.59902607542316355E1
1.55155310000000002E8	-1.65087224680586431E1
1.60160320000000023E8	-1.70262055560789527E1
1.65165330000000021E8	-1.75426967950820023E1
1.70170339999999998E8	-1.80581830313217817E1
1.75175350000000019E8	-1.85726512275479871E1
1.80180360000000017E8	-1.90860885023393467E1
1.85185370000000016E8	-1.95984821654168040E1
1.90190380000000014E8	-2.01098197470191487E1
1.95195389999999991E8	-2.06200890249201807E1
2.00200400000000034E8	-2.11292780482035525E1
2.05205410000000033E8	-2.16373751559331318E1
2.10210420000000031E8	-2.21443689963862989E1
2.15215429999999985E8	-2.26502485416854871E1
2.20220440000000028E8	-2.31550031014900126E1
2.25225450000000027E8	-2.36586223351851732E1
2.30230460000000026E8	-2.41610962615700320E1
2.35235470000000024E8	-2.46624152682941000E1
2.40240480000000023E8	-2.51625701192544371E1
2.45245489999999977E8	-2.56615519612060083E1
2.50250500000000020E8	-2.61593523296938324E1
2.55255510000000019E8	-2.66559631531499752E1
2.60260520000000017E8	-2.71513767570674514E1
2.65265529999999972E8	-2.76455858672332777E1
2.70270540000000015E8	-2.81385836120537913E1
2.75275550000000013E8	-2.86303635241966248E1
2.80280560000000012E8	-2.91209195419280586E1
2.85285570000000011E8	-2.96102460097043529E1
2.90290580000000009E8	-3.00983376785765122E1
2.95295590000000008E8	-3.05851897054448418E1
3.00300600000000006E8	-3.10707976527933472E1
3.05305610000000005E8	-3.15551574871434370E1
3.10310620000000004E8	-3.20382655780305203E1
3.15315630000000002E8	-3.25201186955985344E1
3.20320640000000045E8	-3.30007140090466100E1
3.25325650000000044E8	-3.34800490832410969E1
3.30330660000000043E8	-3.39581218773070992E1
3.35335670000000041E8	-3.44349307403332983E1
3.40340679999999995E8	-3.49104744087721386E1
3.45345689999999994E8	-3.53847520029380025E1
3.50350700000000037E8	-3.58577630230010325E1
3.55355710000000036E8	-3.63295073453570350E1
3.60360720000000034E8	-3.67999852187260945E1
3.65365729999999989E8	-3.72691972593593679E1
3.70370740000000032E8	-3.77371444472092410E1
3.75375749999999986E8	-3.82038281212548281E1
3.80380760000000029E8	-3.86692499746410778E1
3.85385770000000027E8	-3.91334120502118044E1
3.90390779999999982E8	-3.95963167355022216E1
3.95395789999999980E8	-4.00579667576296305E1
4.00400800000000068E8	-4.05183651787392929E1
4.05405809999999978E8	-4.09775153902686196E1
4.10410820000000065E8	-4.14354211081815915E1
4.15415830000000064E8	-4.18920863676711441E1
4.20420840000000062E8	-4.23475155177452667E1
4.25425849999999972E8	-4.28017132161100644E1
4.30430859999999971E8	-4.32546844237274986E1
4.35435869999999969E8	-4.37064343993085824E1
4.40440880000000057E8	-4.41569686941895068E1
4.45445889999999967E8	-4.46062931468427504E1
4.50450900000000054E8	-4.50544138318635579E1
4.55455910000000053E8	-4.55013372368847335E1
4.60460920000000051E8	-4.59470699838545649E1
4.65465930000000050E8	-4.63916190059015676E1
4.70470940000000049E8	-4.68349914965798586E1
4.75475950000000047E8	-4.72771949042766693E1
4.80480960000000046E8	-4.77182369272339990E1
4.85485970000000044E8	-4.81581255081162851E1
4.90490979999999954E8	-4.85968688290738804E1
