freq	dB(S(4,1))
0.00000000000000000E0	-6.02219927612630812E0
5.00501000000000040E6	-6.02338766267889980E0
1.00100200000000017E7	-6.02495300282799562E0
1.50150300000000003E7	-6.02679539826577493E0
2.00200400000000034E7	-6.02891061441429343E0
2.50250500000000020E7	-6.03129897747210286E0
3.00300600000000006E7	-6.03395640476322725E0
3.50350700000000037E7	-6.03687938680283231E0
4.00400800000000068E7	-6.04006421580035013E0
4.50450900000000054E7	-6.04350724110179005E0
5.00501000000000040E7	-6.04720501331225879E0
5.50551100000000027E7	-6.05115435173686844E0
6.00601200000000013E7	-6.05535235925681281E0
6.50651300000000088E7	-6.05979640332160940E0
7.00701400000000074E7	-6.06448407791193667E0
7.50751499999999972E7	-6.06941315716026697E0
8.00801600000000136E7	-6.07458154784968585E0
8.50851699999999944E7	-6.07998724528006029E0
9.00901800000000108E7	-6.08562829477197198E0
9.50951900000000094E7	-6.09150275957734966E0
1.00100200000000017E8	-6.09760869522648630E0
1.05105210000000016E8	-6.10394412966666700E0
1.10110220000000014E8	-6.11050704843449832E0
1.15115230000000013E8	-6.11729538399576711E0
1.20120240000000011E8	-6.12430700843540343E0
1.25125250000000010E8	-6.13153972882263076E0
1.30130260000000009E8	-6.13899128460340560E0
1.35135270000000007E8	-6.14665934652452695E0
1.40140280000000006E8	-6.15454151679083683E0
1.45145290000000005E8	-6.16263532996674712E0
1.50150300000000003E8	-6.17093825454607536E0
1.55155310000000002E8	-6.17944769495964863E0
1.60160320000000023E8	-6.18816099379472639E0
1.65165330000000021E8	-6.19707543429276253E0
1.70170339999999998E8	-6.20618824286589010E0
1.75175350000000019E8	-6.21549659174063773E0
1.80180360000000017E8	-6.22499760157284587E0
1.85185370000000016E8	-6.23468834408326522E0
1.90190380000000014E8	-6.24456584461903397E0
1.95195389999999991E8	-6.25462708471719164E0
2.00200400000000034E8	-6.26486900462209650E0
2.05205410000000033E8	-6.27528850567912322E0
2.10210420000000031E8	-6.28588245276858526E0
2.15215429999999985E8	-6.29664767660743685E0
2.20220440000000028E8	-6.30758097602512358E0
2.25225450000000027E8	-6.31867912019254341E0
2.30230460000000026E8	-6.32993885076207707E0
2.35235470000000024E8	-6.34135688399426822E0
2.40240480000000023E8	-6.35292991280402575E0
2.45245489999999977E8	-6.36465460876821609E0
2.50250500000000020E8	-6.37652762409749130E0
2.55255510000000019E8	-6.38854559352531215E0
2.60260520000000017E8	-6.40070513618690562E0
2.65265529999999972E8	-6.41300285744554444E0
2.70270540000000015E8	-6.42543535066844562E0
2.75275550000000013E8	-6.43799919895681683E0
2.80280560000000012E8	-6.45069097684651815E0
2.85285570000000011E8	-6.46350725195925957E0
