Frequency,Coupling,Directivity,Isolation,InsertionLoss
0.00000000,13.78532980,0.00404675,13.78937655,13.78199658
0.00500000,13.78431265,0.00412583,13.78843848,13.78086367
0.01000000,13.78126756,0.00436445,13.78563201,13.77747315
0.01500000,13.77620975,0.00475918,13.78096893,13.77184270
0.02000000,13.76916637,0.00530687,13.77447324,13.76400309
0.02500000,13.76017706,0.00600341,13.76618047,13.75399932
0.03000000,13.74928989,0.00684129,13.75613118,13.74188651
0.03500000,13.73655995,0.00781723,13.74437718,13.72772710
0.04000000,13.72205597,0.00892214,13.73097811,13.71160182
0.04500000,13.70585314,0.01014574,13.71599888,13.69359288
0.05000000,13.68803404,0.01148029,13.69951433,13.67379675
0.05500000,13.66868836,0.01291705,13.68160541,13.65231562
0.06000000,13.64791442,0.01444194,13.66235636,13.62925682
0.06500000,13.62581017,0.01604758,13.64185775,13.60473563
0.07000000,13.60248410,0.01772026,13.62020436,13.57887166
0.07500000,13.57804321,0.01945070,13.59749390,13.55178603
0.08000000,13.55259894,0.02122839,13.57382733,13.52360535
0.08500000,13.52626645,0.02303828,13.54930473,13.49445280
0.09000000,13.49915642,0.02487358,13.52403000,13.46445773
0.09500000,13.47138361,0.02672049,13.49810410,13.43374324
0.10000000,13.44305886,0.02857067,13.47162953,13.40243343
0.10500000,13.41429094,0.03041501,13.44470595,13.37064849
0.11000000,13.38518792,0.03224145,13.41742937,13.33850711
0.11500000,13.35585231,0.03404444,13.38989675,13.30611996
0.12000000,13.32638070,0.03581561,13.36219632,13.27359469
0.12500000,13.29686883,0.03754778,13.33441661,13.24103187
0.13000000,13.26740214,0.03923259,13.30663474,13.20852644
0.13500001,13.23806202,0.04086662,13.27892864,13.17616740
0.14000000,13.20892497,0.04244461,13.25136958,13.14403217
0.14500000,13.18005738,0.04396083,13.22401821,13.11219460
0.15000001,13.15151959,0.04541302,13.19693261,13.08071879
0.15500000,13.12336598,0.04679713,13.17016311,13.04966005
0.16000000,13.09564001,0.04811429,13.14375430,13.01906748
0.16500001,13.06838025,0.04935923,13.11773949,12.98897679
0.17000000,13.04161848,0.05053157,13.09215005,12.95942327
0.17500000,13.01537493,0.05163310,13.06700803,12.93042699
0.18000001,12.98966729,0.05266131,13.04232860,12.90200465
0.18500000,12.96450281,0.05361803,13.01812083,12.87416330
0.19000000,12.93988276,0.05450340,12.99438617,12.84690348
0.19499999,12.91580281,0.05531967,12.97112248,12.82021924
0.20000000,12.89225258,0.05606723,12.94831981,12.79409819
0.20500000,12.86921556,0.05674715,12.92596271,12.76852169
0.20999999,12.84666983,0.05736236,12.90403219,12.74346695
0.21500000,12.82459038,0.05791384,12.88250423,12.71890592
