Frequency phase_difference
1.20000000 41.90622594
1.20200000 42.08357413
1.20400000 42.26148456
1.20600000 42.43995629
1.20800000 42.61898830
1.21000000 42.79857949
1.21200000 42.97872864
1.21400000 43.15943446
1.21600000 43.34069556
1.21800000 43.52251043
1.22000000 43.70487750
1.22200000 43.88779508
1.22400000 44.07126136
1.22600000 44.25527447
1.22800000 44.43983241
1.23000000 44.62493307
1.23200000 44.81057425
1.23400000 44.99675364
1.23600000 45.18346881
1.23800000 45.37071724
1.24000000 45.55849628
1.24200000 45.74680319
1.24400000 45.93563508
1.24600000 46.12498899
1.24800000 46.31486182
1.25000000 46.50525035
1.25200000 46.69615127
1.25400000 46.88756111
1.25600000 47.07947632
1.25800000 47.27189322
1.26000000 47.46480798
1.26200000 47.65821669
1.26400000 47.85211530
1.26600000 48.04649962
1.26800000 48.24136537
1.27000000 48.43670811
1.27200000 48.63252331
1.27400000 48.82880628
1.27600000 49.02555222
1.27800000 49.22275620
1.28000000 49.42041317
1.28200000 49.61851794
1.28400000 49.81706520
1.28600000 50.01604950
1.28800000 50.21546527
1.29000000 50.41530681
1.29200000 50.61556829
1.29400000 50.81624374
1.29600000 51.01732708
1.29800000 51.21881207
1.30000000 51.42069236
1.30200000 51.62296148
1.30400000 51.82561281
1.30600000 52.02863960
1.30800000 52.23203498
1.31000000 52.43579195
1.31200000 52.63990337
1.31400000 52.84436199
1.31600000 53.04916041
1.31800000 53.25429112
1.32000000 53.45974646
1.32200000 53.66551868
1.32400000 53.87159986
1.32600000 54.07798200
1.32800000 54.28465693
1.33000000 54.49161639
1.33200000 54.69885199
1.33400000 54.90635520
1.33600000 55.11411740
1.33800000 55.32212982
1.34000000 55.53038360
1.34200000 55.73886974
1.34400000 55.94757913
1.34600000 56.15650255
1.34800000 56.36563067
1.35000000 56.57495405
1.35200000 56.78446312
1.35400000 56.99414822
1.35600000 57.20399959
1.35800000 57.41400735
1.36000000 57.62416153
1.36200000 57.83445203
1.36400000 58.04486869
1.36600000 58.25540123
1.36800000 58.46603928
1.37000000 58.67677238
1.37200000 58.88758997
1.37400000 59.09848141
1.37600000 59.30943598
1.37800000 59.52044285
1.38000000 59.73149115
1.38200000 59.94256989
1.38400000 60.15366802
1.38600000 60.36477442
1.38800000 60.57587790
1.39000000 60.78696718
1.39200000 60.99803095
1.39400000 61.20905780
1.39600000 61.42003628
1.39800000 61.63095487
1.40000000 61.84180201
1.40200000 62.05256608
1.40400000 62.26323540
1.40600000 62.47379825
1.40800000 62.68424288
1.41000000 62.89455749
1.41200000 63.10473022
1.41400000 63.31474921
1.41600000 63.52460256
1.41800000 63.73427831
1.42000000 63.94376452
1.42200000 64.15304920
1.42400000 64.36212035
1.42600000 64.57096594
1.42800000 64.77957395
1.43000000 64.98793232
1.43200000 65.19602901
1.43400000 65.40385196
1.43600000 65.61138912
1.43800000 65.81862843
1.44000000 66.02555785
1.44200000 66.23216534
1.44400000 66.43843886
1.44600000 66.64436640
1.44800000 66.84993597
1.45000000 67.05513560
1.45200000 67.25995332
1.45400000 67.46437722
1.45600000 67.66839540
1.45800000 67.87199599
1.46000000 68.07516718
1.46200000 68.27789717
1.46400000 68.48017421
1.46600000 68.68198660
1.46800000 68.88332269
1.47000000 69.08417087
1.47200000 69.28451960
1.47400000 69.48435736
1.47600000 69.68367272
1.47800000 69.88245430
1.48000000 70.08069080
1.48200000 70.27837095
1.48400000 70.47548358
1.48600000 70.67201758
1.48800000 70.86796191
1.49000000 71.06330560
1.49200000 71.25803779
1.49400000 71.45214766
1.49600000 71.64562450
1.49800000 71.83845766
1.50000000 72.03063661
1.50200000 72.22215087
1.50400000 72.41299009
1.50600000 72.60314399
1.50800000 72.79260239
1.51000000 72.98135520
1.51200000 73.16939243
1.51400000 73.35670421
1.51600000 73.54328075
1.51800000 73.72911236
1.52000000 73.91418948
1.52200000 74.09850264
1.52400000 74.28204248
1.52600000 74.46479974
1.52800000 74.64676530
1.53000000 74.82793011
1.53200000 75.00828528
1.53400000 75.18782199
1.53600000 75.36653158
1.53800000 75.54440546
1.54000000 75.72143520
1.54200000 75.89761247
1.54400000 76.07292906
1.54600000 76.24737687
1.54800000 76.42094795
1.55000000 76.59363444
1.55200000 76.76542864
1.55400000 76.93632293
1.55600000 77.10630986
1.55800000 77.27538206
1.56000000 77.44353232
1.56200000 77.61075354
1.56400000 77.77703875
1.56600000 77.94238111
1.56800000 78.10677389
1.57000000 78.27021053
1.57200000 78.43268454
1.57400000 78.59418960
1.57600000 78.75471951
1.57800000 78.91426818
1.58000000 79.07282967
1.58200000 79.23039816
1.58400000 79.38696796
1.58600000 79.54253351
1.58800000 79.69708937
1.59000000 79.85063024
1.59200000 80.00315094
1.59400000 80.15464642
1.59600000 80.30511176
1.59800000 80.45454217
1.60000000 80.60293298
1.60200000 80.75027967
1.60400000 80.89657781
1.60600000 81.04182313
1.60800000 81.18601147
1.61000000 81.32913881
1.61200000 81.47120123
1.61400000 81.61219497
1.61600000 81.75211637
1.61800000 81.89096190
1.62000000 82.02872818
1.62200000 82.16541191
1.62400000 82.30100995
1.62600000 82.43551927
1.62800000 82.56893696
1.63000000 82.70126024
1.63200000 82.83248646
1.63400000 82.96261306
1.63600000 83.09163764
1.63800000 83.21955790
1.64000000 83.34637166
1.64200000 83.47207687
1.64400000 83.59667159
1.64600000 83.72015400
1.64800000 83.84252240
1.65000000 83.96377522
1.65200000 84.08391099
1.65400000 84.20292836
1.65600000 84.32082611
1.65800000 84.43760311
1.66000000 84.55325838
1.66200000 84.66779102
1.66400000 84.78120027
1.66600000 84.89348547
1.66800000 85.00464608
1.67000000 85.11468168
1.67200000 85.22359193
1.67400000 85.33137665
1.67600000 85.43803573
1.67800000 85.54356920
1.68000000 85.64797718
1.68200000 85.75125991
1.68400000 85.85341773
1.68600000 85.95445110
1.68800000 86.05436059
1.69000000 86.15314687
1.69200000 86.25081071
1.69400000 86.34735301
1.69600000 86.44277476
1.69800000 86.53707705
1.70000000 86.63026109
1.70200000 86.72232819
1.70400000 86.81327976
1.70600000 86.90311733
1.70800000 86.99184250
1.71000000 87.07945702
1.71200000 87.16596269
1.71400000 87.25136146
1.71600000 87.33565535
1.71800000 87.41884650
1.72000000 87.50093714
1.72200000 87.58192960
1.72400000 87.66182631
1.72600000 87.74062981
1.72800000 87.81834273
1.73000000 87.89496780
1.73200000 87.97050785
1.73400000 88.04496579
1.73600000 88.11834467
1.73800000 88.19064758
1.74000000 88.26187775
1.74200000 88.33203849
1.74400000 88.40113320
1.74600000 88.46916539
1.74800000 88.53613864
1.75000000 88.60205665
1.75200000 88.66692320
1.75400000 88.73074216
1.75600000 88.79351750
1.75800000 88.85525328
1.76000000 88.91595364
1.76200000 88.97562282
1.76400000 89.03426516
1.76600000 89.09188508
1.76800000 89.14848708
1.77000000 89.20407577
1.77200000 89.25865582
1.77400000 89.31223201
1.77600000 89.36480921
1.77800000 89.41639235
1.78000000 89.46698647
1.78200000 89.51659670
1.78400000 89.56522822
1.78600000 89.61288634
1.78800000 89.65957642
1.79000000 89.70530391
1.79200000 89.75007435
1.79400000 89.79389336
1.79600000 89.83676665
1.79800000 89.87869998
1.80000000 89.91969922
1.80200000 89.95977031
1.80400000 89.99891927
1.80600000 90.03715219
1.80800000 90.07447526
1.81000000 90.11089471
1.81200000 90.14641688
1.81400000 90.18104818
1.81600000 90.21479507
1.81800000 90.24766411
1.82000000 90.27966193
1.82200000 90.31079522
1.82400000 90.34107076
1.82600000 90.37049538
1.82800000 90.39907600
1.83000000 90.42681960
1.83200000 90.45373324
1.83400000 90.47982402
1.83600000 90.50509915
1.83800000 90.52956587
1.84000000 90.55323150
1.84200000 90.57610343
1.84400000 90.59818912
1.84600000 90.61949607
1.84800000 90.64003187
1.85000000 90.65980415
1.85200000 90.67882062
1.85400000 90.69708903
1.85600000 90.71461722
1.85800000 90.73141306
1.86000000 90.74748449
1.86200000 90.76283951
1.86400000 90.77748617
1.86600000 90.79143258
1.86800000 90.80468690
1.87000000 90.81725737
1.87200000 90.82915223
1.87400000 90.84037982
1.87600000 90.85094852
1.87800000 90.86086675
1.88000000 90.87014298
1.88200000 90.87878574
1.88400000 90.88680360
1.88600000 90.89420518
1.88800000 90.90099914
1.89000000 90.90719420
1.89200000 90.91279911
1.89400000 90.91782266
1.89600000 90.92227370
1.89800000 90.92616111
1.90000000 90.92949381
1.90200000 90.93228076
1.90400000 90.93453096
1.90600000 90.93625346
1.90800000 90.93745732
1.91000000 90.93815166
1.91200000 90.93834562
1.91400000 90.93804837
1.91600000 90.93726915
1.91800000 90.93601717
1.92000000 90.93430173
1.92200000 90.93213213
1.92400000 90.92951769
1.92600000 90.92646779
1.92800000 90.92299180
1.93000000 90.91909914
1.93200000 90.91479926
1.93400000 90.91010161
1.93600000 90.90501568
1.93800000 90.89955098
1.94000000 90.89371704
1.94200000 90.88752339
1.94400000 90.88097961
1.94600000 90.87409529
1.94800000 90.86688001
1.95000000 90.85934340
1.95200000 90.85149509
1.95400000 90.84334472
1.95600000 90.83490194
1.95800000 90.82617643
1.96000000 90.81717785
1.96200000 90.80791589
1.96400000 90.79840024
1.96600000 90.78864061
1.96800000 90.77864670
1.97000000 90.76842822
1.97200000 90.75799487
1.97400000 90.74735639
1.97600000 90.73652247
1.97800000 90.72550284
1.98000000 90.71430721
1.98200000 90.70294529
