Frequency directivity
1.2 2.292307729907
1.202 2.3006403860197997
1.204 2.3089962996553997
1.206 2.3173757155085006
1.208 2.325778879016001
1.21 2.334206036354
1.212 2.3426574344351003
1.214 2.3511333209048004
1.216 2.3596339441398992
1.218 2.3681595532447997
1.22 2.376710398050201
1.222 2.3852867291098994
1.224 2.3938887976997005
1.226 2.4025168558143006
1.228 2.4111711561666995
1.23 2.4198519521858994
1.232 2.4285594980155008
1.234 2.4372940485134
1.236 2.4460558592499995
1.238 2.4548451865074004
1.24 2.46366228728
1.242 2.472507419272799
1.244 2.4813808409025
1.246 2.4902828112975
1.248 2.4992135902983
1.25 2.508173438458001
1.252 2.5171626170446
1.254 2.5261813880411994
1.256 2.5352300141481994
1.258 2.5443087587857995
1.26 2.5534178860958994
1.262 2.562557660945301
1.264 2.5717283489284
1.266 2.5809302163715007
1.268 2.5901635303358006
1.27 2.5994285586228
1.272 2.608725569778101
1.274 2.6180548330975997
1.276 2.6274166186323002
1.278 2.6368111971951
1.28 2.6462388403670998
1.282 2.655699820504701
1.284 2.6651944107474
1.286 2.6747228850261004
1.288 2.6842855180715004
1.29 2.6938825854232
1.292 2.7035143634404006
1.294 2.7131811293113994
1.296 2.722883161064999
1.298 2.7326207375825993
1.3 2.7423941386094004
1.302 2.752203644768799
1.304 2.7620495375747005
1.306 2.7719320994470005
1.308 2.7818516137257996
1.31 2.791808364687399
1.312 2.801802637561299
1.314 2.811834718547
1.316 2.8219048948320005
1.318 2.8320134546112996
1.32 2.8421606871067002
1.322 2.852346882587299
1.324 2.8625723323911005
1.326 2.8728373289475
1.328 2.8831421658001
1.33 2.893487137631401
1.332 2.9038725402871997
1.334 2.9142986708034
1.336 2.924765827432699
1.338 2.9352743096725
1.34 2.945824418294399
1.342 2.9564164553738994
1.344 2.967050724322199
1.346 2.9777275299178
1.348 2.9884471783404996
1.35 2.999209977205801
1.352 3.010016235600501
1.354 3.0208662641197
1.356 3.0317603749048994
1.358 3.0426988816832994
1.36 3.0536820998085004
1.362 3.0647103463023004
1.364 3.075783939897401
1.366 3.0869032010826993
1.368 3.0980684521483006
1.37 3.1092800172331003
1.372 3.120538222373
1.374 3.1318433955509004
1.376 3.1431958667482993
1.378 3.1545959679978006
1.38 3.1660440334370996
1.382 3.1775403993652995
1.384 3.189085404299801
1.386 3.2006793890346996
1.388 3.212322696701899
1.39 3.2240156728321994
1.392 3.2357586654191
1.394 3.2475520249839995
1.396 3.2593961046423
1.398 3.2712912601725
1.4 3.2832378500856
1.402 3.2952362356969997
1.404 3.3072867811998004
1.406 3.319389853740101
1.408 3.3315458234933004
1.41 3.3437550637436004
1.412 3.3560179509633006
1.414 3.3683348648959006
1.416 3.3807061886394
1.418 3.3931323087321
1.42 3.405613615240499
1.422 3.4181505018489
1.424 3.430743365950099
1.426 3.4433926087390008
1.428 3.456098635307301
1.43 3.468861854741199
1.432 3.4816826802192997
1.434 3.4945615291139998
1.436 3.5074988230943003
1.438 3.5204949882296006
1.44 3.5335504550972994
1.442 3.5466656588909
1.444 3.55984103953
1.446 3.5730770417735007
1.448 3.586374115333501
1.45 3.5997327149920997
1.452 3.613153300719101
1.454 3.6266363377927
1.456 3.6401822969217994
1.458 3.6537916543700995
1.46 3.667464892082199
1.462 3.6812024978118005
1.464 3.6950049652520995
1.466 3.7088727941675
1.468 3.7228064905277005
1.47 3.7368065666434997
1.472 3.7508735413052996
1.474 3.765007939922101
1.476 3.7792102946635993
1.478 3.7934811446037005
1.48 3.8078210358661
1.482 3.8222305217715
1.484 3.8367101629871003
1.486 3.8512605276769003
1.488 3.8658821916553006
1.49 3.8805757385417996
1.492 3.8953417599165006
1.494 3.9101808554793003
1.496 3.9250936332092
1.498 3.9400807095260992
1.5 3.955142709454
1.502 3.9702802667860997
1.504 3.9854940242509
1.506 4.0007846336813
1.508 4.0161527561832004
1.51 4.031599062307199
1.512 4.0471242322218
1.514 4.062728955886599
1.516 4.078413933228799
1.518 4.094179874320299
1.52 4.110027499554799
1.522 4.125957539829101
1.524 4.141970736722901
1.526 4.1580678426816
1.528 4.174249621199699
1.53 4.1905168470045995
1.532 4.206870306243499
1.534 4.2233107966688
1.536 4.239839127827
1.538 4.2564561212464005
1.54 4.2731626106276
1.542 4.2899594420335
1.544 4.306847474080801
1.546 4.323827578132399
1.548 4.3409006384899
1.55 4.3580675525875
1.552 4.3753292311864
1.554 4.392686598569301
1.556 4.4101405927362
1.558 4.427692165600099
1.56 4.445342283183299
1.562 4.463091925815
1.564 4.4809420883275
1.566 4.4988937802544
1.568 4.5169480260286
1.57 4.535105865179499
1.572 4.5533683525326
1.574 4.5717365584066005
1.576 4.590211568813199
1.578 4.6087944856553005
1.58 4.6274864269253
1.582 4.6462885269046
1.584 4.665201936362
1.586 4.684227822752599
1.588 4.7033673704162995
1.59 4.7226217807761
1.592 4.741992272537099
1.594 4.761480081884599
1.596 4.781086462681901
1.598 4.800812686668699
1.6 4.8206600436586005
1.602 4.840629841736999
1.604 4.8607234074584005
1.606 4.8809420860432
1.608 4.9012872415757
1.61 4.9217602571996
1.612 4.942362535316099
1.614 4.963095497779199
1.616 4.983960586092801
1.618 5.004959261606899
1.62 5.026093005713399
1.622 5.0473633200426
1.624 5.0687717266593
1.626 5.090319768258699
1.628 5.112009008363101
1.63 5.133841031518
1.632 5.1558174434891
1.634 5.1779398714583
1.636 5.200209964222499
1.638 5.2226293923901
1.64 5.2451998485795
1.642 5.267923047618701
1.644 5.290800726744
