Frequency s33_phase
1.2 146.99547994678
1.202 146.86675536997
1.204 146.73775403597
1.206 146.6084757522
1.208 146.47892032999
1.21 146.34908758472
1.212 146.21897733582
1.214 146.08858940689
1.216 145.95792362574
1.218 145.82697982445
1.22 145.69575783949
1.222 145.56425751176
1.224 145.43247868668
1.226 145.30042121426
1.228 145.16808494919
1.23 145.03546975092
1.232 144.90257548373
1.234 144.76940201685
1.236 144.63594922451
1.238 144.50221698606
1.24 144.36820518604
1.242 144.2339137143
1.244 144.09934246607
1.246 143.96449134207
1.248 143.82936024862
1.25 143.69394909773
1.252 143.55825780721
1.254 143.42228630078
1.256 143.28603450819
1.258 143.14950236531
1.26 143.01268981426
1.262 142.87559680353
1.264 142.73822328812
1.266 142.60056922961
1.268 142.46263459633
1.27 142.3244193635
1.272 142.18592351331
1.274 142.04714703511
1.276 141.90808992553
1.278 141.76875218859
1.28 141.6291338359
1.282 141.48923488677
1.284 141.34905536838
1.286 141.20859531592
1.288 141.06785477275
1.29 140.92683379059
1.292 140.78553242965
1.294 140.64395075882
1.296 140.50208885581
1.298 140.35994680739
1.3 140.21752470952
1.302 140.07482266755
1.304 139.93184079639
1.306 139.78857922074
1.308 139.64503807527
1.31 139.50121750481
1.312 139.35711766456
1.314 139.21273872033
1.316 139.0680808487
1.318 138.92314423728
1.32 138.77792908494
1.322 138.63243560202
1.324 138.48666401054
1.326 138.3406145445
1.328 138.19428745007
1.33 138.04768298588
1.332 137.90080142324
1.334 137.75364304641
1.336 137.60620815289
1.338 137.45849705365
1.34 137.31051007343
1.342 137.16224755104
1.344 137.01370983961
1.346 136.86489730691
1.348 136.71581033563
1.35 136.56644932371
1.352 136.41681468465
1.354 136.26690684778
1.356 136.11672625868
1.358 135.96627337941
1.36 135.81554868892
1.362 135.66455268336
1.364 135.51328587644
1.366 135.3617487998
1.368 135.20994200336
1.37 135.05786605571
1.372 134.90552154445
1.374 134.75290907663
1.376 134.60002927913
1.378 134.44688279904
1.38 134.29347030408
1.382 134.13979248303
1.384 133.98585004615
1.386 133.83164372561
1.388 133.67717427593
1.39 133.52244247444
1.392 133.36744912173
1.394 133.21219504212
1.396 133.05668108411
1.398 132.90090812092
1.4 132.74487705094
1.402 132.58858879821
1.404 132.432044313
1.406 132.27524457225
1.408 132.11819058017
1.41 131.9608833687
1.412 131.80332399814
1.414 131.64551355762
1.416 131.48745316574
1.418 131.32914397108
1.42 131.17058715282
1.422 131.01178392135
1.424 130.8527355188
1.426 130.69344321973
1.428 130.53390833171
1.43 130.37413219596
1.432 130.214116188
1.434 130.05386171827
1.436 129.89337023284
1.438 129.73264321403
1.44 129.57168218113
1.442 129.41048869107
1.444 129.24906433913
1.446 129.08741075964
1.448 128.92552962671
1.45 128.76342265497
1.452 128.60109160028
1.454 128.43853826052
1.456 128.27576447632
1.458 128.11277213185
1.46 127.9495631556
1.462 127.78613952116
1.464 127.62250324803
1.466 127.45865640243
1.468 127.29460109812
1.47 127.13033949723
1.472 126.96587381111
1.474 126.80120630116
1.476 126.63633927972
1.478 126.4712751109
1.48 126.30601621149
1.482 126.14056505184
1.484 125.97492415675
1.486 125.80909610638
1.488 125.64308353716
1.49 125.47688914273
