Frequency s43
1.2 -10.733766252795
1.202 -10.733079081183
1.204 -10.732285396438
1.206 -10.731384145853
1.208 -10.730374273137
1.21 -10.729254718611
1.212 -10.728024419409
1.214 -10.72668230969
1.216 -10.725227320849
1.218 -10.72365838174
1.22 -10.721974418897
1.222 -10.720174356769
1.224 -10.718257117958
1.226 -10.71622162346
1.228 -10.714066792918
1.23 -10.711791544873
1.232 -10.709394797028
1.234 -10.706875466513
1.236 -10.704232470163
1.238 -10.701464724789
1.24 -10.698571147472
1.242 -10.695550655847
1.244 -10.6924021684
1.246 -10.689124604776
1.248 -10.68571688608
1.25 -10.682177935196
1.252 -10.678506677106
1.254 -10.674702039212
1.256 -10.670762951669
1.258 -10.666688347724
1.26 -10.66247716405
1.262 -10.658128341103
1.264 -10.653640823466
1.266 -10.64901356021
1.268 -10.644245505258
1.27 -10.639335617748
1.272 -10.634282862411
1.274 -10.629086209942
1.276 -10.623744637386
1.278 -10.618257128524
1.28 -10.61262267426
1.282 -10.60684027302
1.284 -10.600908931147
1.286 -10.594827663307
1.288 -10.588595492892
1.29 -10.582211452431
1.292 -10.575674584004
1.294 -10.56898393966
1.296 -10.562138581829
1.298 -10.555137583755
1.3 -10.54798002991
1.302 -10.54066501643
1.304 -10.533191651537
1.306 -10.525559055974
1.308 -10.517766363439
1.31 -10.509812721016
1.312 -10.50169728961
1.314 -10.493419244388
1.316 -10.484977775212
1.318 -10.476372087078
1.32 -10.467601400553
1.322 -10.458664952214
1.324 -10.449561995086
1.326 -10.440291799075
1.328 -10.430853651407
1.33 -10.421246857063
1.332 -10.411470739208
1.334 -10.401524639627
1.336 -10.391407919151
1.338 -10.381119958087
1.34 -10.370660156638
1.342 -10.360027935327
1.344 -10.349222735413
1.346 -10.338244019308
1.348 -10.327091270983
1.35 -10.31576399638
1.352 -10.304261723805
1.354 -10.292584004334
1.356 -10.280730412199
1.358 -10.268700545172
1.36 -10.256494024952
1.362 -10.244110497533
1.364 -10.231549633576
1.366 -10.218811128765
1.368 -10.205894704167
1.37 -10.192800106573
1.372 -10.179527108841
1.374 -10.166075510226
1.376 -10.152445136701
1.378 -10.138635841275
1.38 -10.124647504294
1.382 -10.110480033744
1.384 -10.096133365532
1.386 -10.081607463767
1.388 -10.066902321028
1.39 -10.052017958621
1.392 -10.036954426826
1.394 -10.021711805136
1.396 -10.006290202481
1.398 -9.9906897574435
1.4 -9.9749106384651
1.402 -9.9589530440349
1.404 -9.942817202873
1.406 -9.9265033740989
1.408 -9.9100118473885
1.41 -9.8933429431191
1.412 -9.8764970125021
1.414 -9.8594744377027
1.416 -9.842275631948
1.418 -9.8249010396215
1.42 -9.8073511363451
1.422 -9.789626429048
1.424 -9.771727456023
1.426 -9.7536547869691
1.428 -9.7354090230214
1.43 -9.7169907967672
1.432 -9.6984007722495
1.434 -9.6796396449563
1.436 -9.6607081417978
1.438 -9.6416070210684
1.44 -9.6223370723975
1.442 -9.6028991166851
1.444 -9.5832940060247
1.446 -9.5635226236136
1.448 -9.5435858836487
1.45 -9.5234847312098
1.452 -9.5032201421301
1.454 -9.4827931228524
1.456 -9.4622047102738
1.458 -9.4414559715763
1.46 -9.4205480040456
1.462 -9.3994819348765
1.464 -9.3782589209663
1.466 -9.3568801486954
1.468 -9.3353468336962
1.47 -9.3136602206093
1.472 -9.2918215828287
1.474 -9.2698322222341
1.476 -9.2476934689127
1.478 -9.2254066808694
1.48 -9.2029732437254
1.482 -9.1803945704067
1.484 -9.1576721008211
1.486 -9.1348073015253
1.488 -9.1118016653817
1.49 -9.0886567112049
1.492 -9.0653739833987
1.494 -9.0419550515837
1.496 -9.0184015102151
1.498 -8.9947149781929
1.5 -8.9708970984613
1.502 -8.9469495376016
1.504 -8.9228739854162
1.506 -8.8986721545041
1.508 -8.8743457798302
1.51 -8.8498966182858
1.512 -8.8253264482434
1.514 -8.8006370691037
1.516 -8.7758303008369
1.518 -8.7509079835176
1.52 -8.7258719768538
1.522 -8.7007241597102
1.524 -8.6754664296269
1.526 -8.6501007023325
1.528 -8.6246289112523
1.53 -8.5990530070135
1.532 -8.5733749569446
1.534 -8.5475967445721
1.536 -8.5217203691138
1.538 -8.4957478449678
1.54 -8.4696812012003
1.542 -8.4435224810291
1.544 -8.4172737413058
1.546 -8.3909370519959
1.548 -8.3645144956564
1.55 -8.3380081669131
1.552 -8.3114201719352
1.554 -8.2847526279104
1.556 -8.2580076625185
1.558 -8.2311874134044
1.56 -8.2042940276517
1.562 -8.1773296612557
1.564 -8.1502964785973
1.566 -8.1231966519166
1.568 -8.0960323607887
1.57 -8.0688057915989
1.572 -8.0415191370206
1.574 -8.0141745954941
1.576 -7.986774370707
1.578 -7.9593206710768
1.58 -7.9318157092355
1.582 -7.9042617015169
1.584 -7.8766608674461
1.586 -7.8490154292318
1.588 -7.8213276112616
1.59 -7.7935996396005
1.592 -7.7658337414931
1.594 -7.738032144868
1.596 -7.7101970778475
1.598 -7.6823307682601
1.6 -7.6544354431569
1.602 -7.6265133283332
1.604 -7.5985666478527
1.606 -7.5705976235779
1.608 -7.5426084747038
1.61 -7.5146014172967
1.612 -7.4865786638384
1.614 -7.4585424227738
1.616 -7.4304948980658
1.618 -7.402438288753
1.62 -7.3743747885148
1.622 -7.3463065852404
1.624 -7.3182358606041
1.626 -7.2901647896458
1.628 -7.2620955403574
1.63 -7.2340302732752
1.632 -7.2059711410773
1.634 -7.177920288188
1.636 -7.1498798503877
1.638 -7.1218519544287
1.64 -7.0938387176573
1.642 -7.0658422476429
1.644 -7.0378646418116
1.646 -7.0099079870883
1.648 -6.9819743595432
1.65 -6.9540658240463
1.652 -6.9261844339276
1.654 -6.8983322306435
1.656 -6.8705112434511
1.658 -6.8427234890874
1.66 -6.8149709714568
1.662 -6.7872556813236
1.664 -6.7595795960132
1.666 -6.7319446791179
1.668 -6.7043528802111
1.67 -6.6768061345675
1.672 -6.6493063628902
1.674 -6.6218554710448
1.676 -6.5944553498003
1.678 -6.5671078745764
1.68 -6.5398149051985
1.682 -6.5125782856586
1.684 -6.4853998438837
1.686 -6.4582813915112
1.688 -6.4312247236701
1.69 -6.4042316187706
1.692 -6.3773038382992
1.694 -6.3504431266218
1.696 -6.3236512107922
1.698 -6.2969298003691
1.7 -6.2702805872388
1.702 -6.2437052454451
1.704 -6.2172054310256
1.706 -6.1907827818557
1.708 -6.1644389174981
1.71 -6.1381754390603
1.712 -6.1119939290577
1.714 -6.0858959512841
1.716 -6.0598830506889
1.718 -6.0339567532602
1.72 -6.0081185659153
1.722 -5.9823699763975
1.724 -5.9567124531792
1.726 -5.931147445372
1.728 -5.9056763826426
1.73 -5.8803006751358
1.732 -5.8550217134037
1.734 -5.8298408683408
1.736 -5.8047594911259
1.738 -5.7797789131702
1.74 -5.7549004460715
1.742 -5.7301253815744
1.744 -5.7054549915371
1.746 -5.6808905279038
1.748 -5.6564332226833
1.75 -5.6320842879332
1.752 -5.6078449157511
1.754 -5.58371627827
1.756 -5.5596995276608
1.758 -5.53579579614
1.76 -5.512006195983
1.762 -5.4883318195431
1.764 -5.4647737392761
1.766 -5.44133300777
1.768 -5.4180106577806
1.77 -5.3948077022722
1.772 -5.3717251344628
1.774 -5.3487639278763
1.776 -5.3259250363974
1.778 -5.3032093943336
1.78 -5.2806179164808
1.782 -5.2581514981943
1.784 -5.2358110154647
1.786 -5.2135973249978
1.788 -5.1915112642998
1.79 -5.1695536517668
1.792 -5.1477252867787
1.794 -5.126026949797
1.796 -5.1044594024677
1.798 -5.0830233877278
1.8 -5.0617196299158
1.802 -5.0405488348863
1.804 -5.0195116901288
1.806 -4.9986088648895
1.808 -4.9778410102976
1.81 -4.9572087594947
1.812 -4.9367127277678
1.814 -4.9163535126855
1.816 -4.8961316942378
1.818 -4.8760478349792
1.82 -4.8561024801739
1.822 -4.8362961579453
1.824 -4.8166293794274
1.826 -4.7971026389195
1.828 -4.7777164140433
1.83 -4.7584711659023
1.832 -4.7393673392445
1.834 -4.7204053626263
1.836 -4.7015856485798
1.838 -4.6829085937813
1.84 -4.664374579222
1.842 -4.6459839703815
1.844 -4.6277371174015
1.846 -4.6096343552627
1.848 -4.5916760039624
1.85 -4.573862368694
1.852 -4.5561937400277
1.854 -4.5386703940926
1.856 -4.5212925927595
1.858 -4.5040605838257
1.86 -4.4869746011997
1.862 -4.4700348650875
1.864 -4.4532415821793
1.866 -4.4365949458369
1.868 -4.4200951362816
1.87 -4.4037423207828
1.872 -4.3875366538463
1.874 -4.3714782774037
1.876 -4.355567321001
1.878 -4.3398039019882
1.88 -4.3241881257079
1.882 -4.3087200856842
1.884 -4.2933998638117
1.886 -4.278227530543
1.888 -4.2632031450773
1.89 -4.2483267555469
1.892 -4.2335983992044
1.894 -4.219018102608
1.896 -4.2045858818069
