level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.33468600367363432E1	1	0	4.36521023607628500E-1 / 1.12234431321432249E2
1.33468600367363432E1	1	1	4.36331928668314006E-1 / 1.12253578131413834E2
1.33468600367363432E1	1	2	4.36143785504352799E-1 / 1.12272395581350781E2
1.33468600367363432E1	1	3	4.35956660353727177E-1 / 1.12290875119808575E2
1.33468600367363432E1	1	4	4.35770619420049066E-1 / 1.12309008173809688E2
1.33468600367363432E1	1	5	4.35585728876286193E-1 / 1.12326786149522517E2
1.33468600367363432E1	1	6	4.35402054868592092E-1 / 1.12344200432978614E2
1.33468600367363432E1	1	7	4.35219663520239930E-1 / 1.12361242390818172E2
1.33468600367363432E1	1	8	4.35038620935661324E-1 / 1.12377903371063947E2
1.33468600367363432E1	1	9	4.34858993204588806E-1 / 1.12394174703923566E2
1.33468600367363432E1	1	10	4.34680846406304333E-1 / 1.12410047702620863E2
1.33468600367363432E1	1	11	4.34329259899189157E-1 / 1.12440563870694299E2
level	number	indep(index, 1)	GainTransducerContours[0, 1, ::]
1.33468600367363432E1	2	0	4.48667416341119285E-1 / 1.10032216523033566E2
1.33468600367363432E1	2	1	4.48713093108791661E-1 / 1.10046881020361353E2
1.33468600367363432E1	2	2	4.48754078471729745E-1 / 1.10061836175101369E2
1.33468600367363432E1	2	3	4.48790307324371174E-1 / 1.10077086371944510E2
1.33468600367363432E1	2	4	4.48821714631814928E-1 / 1.10092636021716817E2
1.33468600367363432E1	2	5	4.48848235431676290E-1 / 1.10108489562267042E2
1.33468600367363432E1	2	6	4.48869804835978403E-1 / 1.10124651459370870E2
1.33468600367363432E1	2	7	4.48886358033083432E-1 / 1.10141126207651152E2
1.33468600367363432E1	2	8	4.48897830289664324E-1 / 1.10157918331515381E2
1.33468600367363432E1	2	9	4.48904156952715994E-1 / 1.10175032386109684E2
1.33468600367363432E1	2	10	4.48905273451608622E-1 / 1.10192472958290821E2
1.33468600367363432E1	2	11	4.48901138260546162E-1 / 1.10210242757182830E2
1.33468600367363432E1	2	12	4.48891801743955021E-1 / 1.10228336876160138E2
1.33468600367363432E1	2	13	4.48877337208977778E-1 / 1.10246748510594417E2
1.33468600367363432E1	2	14	4.48857817932854974E-1 / 1.10265470865174020E2
1.33468600367363432E1	2	15	4.48833317159926004E-1 / 1.10284497152629646E2
1.33468600367363432E1	2	16	4.48803908098690929E-1 / 1.10303820592483093E2
1.33468600367363432E1	2	17	4.48769663918936601E-1 / 1.10323434409819865E2
1.33468600367363432E1	2	18	4.48730657748921224E-1 / 1.10343331834084624E2
1.33468600367363432E1	2	19	4.48686962672622069E-1 / 1.10363506097899533E2
1.33468600367363432E1	2	20	4.48638651727042514E-1 / 1.10383950435905165E2
1.33468600367363432E1	2	21	4.48585797899579752E-1 / 1.10404658083623453E2
1.33468600367363432E1	2	22	4.48528474125452448E-1 / 1.10425622276343005E2
1.33468600367363432E1	2	23	4.48466753285188169E-1 / 1.10446836248025848E2
1.33468600367363432E1	2	24	4.48400708202171039E-1 / 1.10468293230235837E2
1.33468600367363432E1	2	25	4.48330411640247206E-1 / 1.10489986451088673E2
1.33468600367363432E1	2	26	4.48255936301391333E-1 / 1.10511909134222508E2
1.33468600367363432E1	2	27	4.48177354823432950E-1 / 1.10534054497790168E2
1.33468600367363432E1	2	28	4.48094739777838846E-1 / 1.10556415753471637E2
1.33468600367363432E1	2	29	4.48008163667558534E-1 / 1.10578986105507493E2
1.33468600367363432E1	2	30	4.47917698924927521E-1 / 1.10601758749752821E2
1.33468600367363432E1	2	31	4.47823417909628851E-1 / 1.10624726872751356E2
1.33468600367363432E1	2	32	4.47725392906716202E-1 / 1.10647883650830003E2
1.33468600367363432E1	2	33	4.47623696124695147E-1 / 1.10671222249213486E2
1.33468600367363432E1	2	34	4.47518399693665181E-1 / 1.10694735821158985E2
1.33468600367363432E1	2	35	4.47409575663521597E-1 / 1.10718417507110756E2
