!CSV A.01.01
!Keysight Technologies,N5242B,US61255121,A.15.50.07
!Date: Friday, October 24, 2025 15:17:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),PwrMain(DB),PwrMain(DEG),IM3(DB),IM3(DEG),OIP3(DB),OIP3(DEG),IIP3(DB),IIP3(DEG)
1010000000,-18.768272,0,-45.842155,0,4.1528053,0,12.97014,0
1015495000,-18.80751,0,-45.330299,0,3.8576396,0,12.689526,0
1020990000,-18.836309,0,-44.486618,0,3.4070008,0,12.239263,0
1026485000,-18.850744,0,-44.551338,0,3.4249268,0,12.257523,0
1031980000,-18.845387,0,-45.709923,0,4.0095735,0,12.846259,0
1037475000,-18.829794,0,-45.981476,0,4.1609435,0,12.994682,0
1042970000,-18.8414,0,-45.475262,0,3.8962305,0,12.730026,0
1048465000,-18.865789,0,-44.903637,0,3.5860286,0,12.420984,0
1053960000,-18.876314,0,-44.611618,0,3.4294941,0,12.264247,0
1059455000,-18.873085,0,-45.28661,0,3.7702203,0,12.610701,0
1064950000,-18.857758,0,-45.922245,0,4.1033654,0,12.94873,0
1070445000,-18.853762,0,-45.622505,0,3.9574926,0,12.801251,0
1075940000,-18.872263,0,-45.318569,0,3.7870216,0,12.630499,0
1081435000,-18.883718,0,-45.09893,0,3.6657462,0,12.507018,0
1086930000,-18.882706,0,-45.378777,0,3.8066816,0,12.648284,0
1092425000,-18.875162,0,-45.993755,0,4.121717,0,12.968698,0
1097920000,-18.871237,0,-45.85471,0,4.0561175,0,12.908503,0
1103415000,-18.884483,0,-45.51268,0,3.8718572,0,12.731919,0
1108910000,-18.897379,0,-45.300793,0,3.7530179,0,12.619143,0
1114405000,-18.900707,0,-45.086567,0,3.6425755,0,12.513537,0
1119900000,-18.904448,0,-45.320362,0,3.7557323,0,12.636841,0
1125395000,-18.901096,0,-45.530979,0,3.8643942,0,12.754327,0
1130890000,-18.897732,0,-45.457726,0,3.8311315,0,12.725587,0
1136385000,-18.899008,0,-45.630554,0,3.9162672,0,12.814509,0
1141880000,-18.892529,0,-45.420147,0,3.8175454,0,12.709062,0
1147375000,-18.89353,0,-45.052425,0,3.6326826,0,12.513623,0
1152870000,-18.895918,0,-45.232937,0,3.720551,0,12.594354,0
1158365000,-18.88549,0,-45.546295,0,3.8876576,0,12.751979,0
1163860000,-18.879667,0,-45.974422,0,4.1075439,0,12.968103,0
1169355000,-18.888371,0,-46.150005,0,4.1866331,0,13.05075,0
1174850000,-18.90748,0,-45.505085,0,3.8450613,0,12.711431,0
1180345000,-18.932722,0,-45.245766,0,3.6901596,0,12.56716,0
1185840000,-18.93614,0,-45.649033,0,3.8883767,0,12.780717,0
1191335000,-18.920593,0,-46.25658,0,4.2076969,0,13.117426,0
1196830000,-18.916624,0,-46.467606,0,4.3171787,0,13.24546,0
1202325000,-18.941488,0,-46.061813,0,4.0894189,0,13.032791,0
1207820000,-18.979794,0,-45.288647,0,3.6645288,0,12.613914,0
1213315000,-18.999432,0,-45.309025,0,3.655081,0,12.607763,0
1218810000,-18.974789,0,-46.031155,0,4.0407891,0,12.993393,0
1224305000,-18.927259,0,-46.387436,0,4.266458,0,13.216331,0
1229800000,-18.908363,0,-46.001751,0,4.0925131,0,13.040708,0
1235295000,-18.928278,0,-45.047012,0,3.595228,0,12.536193,0
1240790000,-18.968863,0,-44.590466,0,3.3263705,0,12.260756,0
1246285000,-18.986181,0,-45.272743,0,3.6501901,0,12.582684,0
1251780000,-18.963959,0,-46.18586,0,4.1289701,0,13.062501,0
1257275000,-18.938009,0,-46.337929,0,4.2309561,0,13.17151,0
1262770000,-18.933304,0,-45.679401,0,3.9063973,0,12.855746,0
1268265000,-18.943693,0,-44.698898,0,3.4057555,0,12.354966,0
1273760000,-18.957317,0,-44.801189,0,3.4432781,0,12.39273,0
1279255000,-18.949038,0,-45.706352,0,3.9041376,0,12.853866,0
1284750000,-18.931973,0,-46.000496,0,4.0682759,0,13.014413,0
1290245000,-18.936363,0,-45.927467,0,4.027369,0,12.9746,0
1295740000,-18.952021,0,-45.551525,0,3.8237417,0,12.771584,0
1301235000,-18.965454,0,-45.169476,0,3.6192834,0,12.563589,0
1306730000,-18.978069,0,-45.775726,0,3.9097931,0,12.859884,0
1312225000,-18.975849,0,-46.406845,0,4.2275734,0,13.186213,0
1317720000,-18.980425,0,-46.113503,0,4.0763264,0,13.043586,0
1323215000,-18.998966,0,-46.107452,0,4.0547605,0,13.036202,0
1328710000,-19.005062,0,-45.987244,0,3.9885612,0,12.980292,0
1334205000,-19.011765,0,-45.905895,0,3.9411833,0,12.941031,0
1339700000,-19.035292,0,-46.330524,0,4.1299715,0,13.142754,0
1345195000,-19.061939,0,-46.032349,0,3.9542346,0,12.971835,0
1350690000,-19.098478,0,-45.648006,0,3.7255242,0,12.745599,0
