Frequency(GHz) phase_difference
1.20000000 49.19986907
1.20050000 49.09742408
1.20100000 49.26019781
1.20150000 49.28786775
1.20200000 49.33890388
1.20250000 49.37033653
1.20300000 49.55714572
1.20350000 49.56523786
1.20400000 49.57250202
1.20450000 49.63809947
1.20500000 49.65270078
1.20550000 49.79175670
1.20600000 49.89732025
1.20650000 49.79791565
1.20700000 49.85690527
1.20750000 49.88171930
1.20800000 50.03710510
1.20850000 50.04379563
1.20900000 50.08271536
1.20950000 50.18489873
1.21000000 50.26107812
1.21050000 50.27199102
1.21100000 50.29601967
1.21150000 50.31858973
1.21200000 50.45991365
1.21250000 50.42995642
1.21300000 50.35877130
1.21350000 50.62001943
1.21400000 50.62104802
1.21450000 50.75235402
1.21500000 50.69819297
1.21550000 50.74482102
1.21600000 50.78303863
1.21650000 50.75916421
1.21700000 50.91243256
1.21750000 50.93354575
1.21800000 51.00747176
1.21850000 51.12131024
1.21900000 51.03921542
1.21950000 51.18004420
1.22000000 51.15094694
1.22050000 51.18007533
1.22100000 51.33417139
1.22150000 51.40528199
1.22200000 51.33439604
1.22250000 51.46088689
1.22300000 51.42658247
1.22350000 51.43905142
1.22400000 51.78499388
1.22450000 51.64553934
1.22500000 51.75180122
1.22550000 51.74134272
1.22600000 51.84912360
1.22650000 51.77304788
1.22700000 51.94064467
1.22750000 51.97086852
1.22800000 51.99562876
1.22850000 52.16815580
1.22900000 52.17819585
1.22950000 52.19555479
1.23000000 52.35051737
1.23050000 52.30666670
1.23100000 52.41871119
1.23150000 52.49518840
1.23200000 52.38033941
1.23250000 52.46320995
1.23300000 52.52741689
1.23350000 52.81692106
1.23400000 52.68889920
1.23450000 52.64198344
1.23500000 52.68759315
1.23550000 52.80162990
1.23600000 52.79364772
1.23650000 52.92022923
1.23700000 52.93014668
1.23750000 52.98801680
1.23800000 53.03340317
1.23850000 53.10789944
1.23900000 53.29942982
1.23950000 53.31776844
1.24000000 53.44847796
1.24050000 53.38064950
1.24100000 53.48214568
1.24150000 53.38342519
1.24200000 53.50896389
1.24250000 53.62361185
1.24300000 53.71416466
1.24350000 53.79099712
1.24400000 53.80513702
1.24450000 53.79204519
1.24500000 53.92502055
1.24550000 54.04629001
1.24600000 53.98909229
1.24650000 54.07249123
1.24700000 54.14589999
1.24750000 54.05832537
1.24800000 54.08950306
1.24850000 54.06822589
1.24900000 54.20320233
1.24950000 54.38172081
1.25000000 54.39683774
1.25050000 54.50401674
1.25100000 54.57402249
1.25150000 54.61184070
1.25200000 54.59298633
1.25250000 54.58692092
1.25300000 54.84362035
1.25350000 54.84766363
1.25400000 54.86571324
1.25450000 54.86887042
1.25500000 54.91106266
1.25550000 55.08657012
1.25600000 55.09629547
1.25650000 55.08764984
1.25700000 55.15515271
1.25750000 55.18627437
1.25800000 55.34001190
1.25850000 55.31476084
1.25900000 55.43710915
1.25950000 55.54122734
1.26000000 55.48440796
1.26050000 55.49969210
1.26100000 55.53548182
1.26150000 55.73890694
1.26200000 55.75294590
1.26250000 55.78271064
1.26300000 55.77967833
1.26350000 55.93824787
1.26400000 55.90614881
1.26450000 55.98838908
1.26500000 55.97646230
1.26550000 56.09414538
1.26600000 56.20036032
1.26650000 56.25200414
1.26700000 56.15748947
1.26750000 56.24056265
1.26800000 56.34634593
1.26850000 56.50184332
1.26900000 56.47911381
1.26950000 56.54479375
1.27000000 56.54785960
1.27050000 56.63407262
1.27100000 56.68903748
1.27150000 56.70643044
1.27200000 56.79348221
1.27250000 56.81134723
1.27300000 56.84539478
1.27350000 56.90512187
1.27400000 56.98435517
1.27450000 57.02162358
1.27500000 57.03528019
1.27550000 57.16349052
1.27600000 57.21646677
1.27650000 57.26394547
1.27700000 57.20925409
1.27750000 57.36091003
1.27800000 57.42655331
1.27850000 57.44321203
1.27900000 57.58314024
1.27950000 57.50972120
1.28000000 57.62980415
1.28050000 57.66851835
1.28100000 57.69170947
1.28150000 57.78520793
1.28200000 57.79004320
1.28250000 57.86860620
1.28300000 57.94547962
1.28350000 58.00673956
1.28400000 57.98672145
1.28450000 58.15853953
1.28500000 58.12527908
1.28550000 58.21488204
1.28600000 58.23490195
1.28650000 58.28474802
1.28700000 58.40937915
1.28750000 58.46033954
1.28800000 58.46614480
1.28850000 58.50354374
1.28900000 58.55089531
1.28950000 58.60985296
1.29000000 58.61621651
1.29050000 58.71991121
1.29100000 58.73088659
1.29150000 58.81341948
1.29200000 58.95505615
1.29250000 58.89273803
1.29300000 58.99915739
1.29350000 59.05874135
1.29400000 59.05658629
1.29450000 59.10962075
1.29500000 59.13006490
1.29550000 59.24240468
1.29600000 59.28880915
1.29650000 59.38306903
1.29700000 59.41750549
1.29750000 59.41354107
1.29800000 59.54048839
1.29850000 59.52387092
1.29900000 59.57478510
1.29950000 59.64776241
1.30000000 59.67194639
1.30050000 59.75213079
1.30100000 59.74363983
1.30150000 59.76301243
1.30200000 59.86322032
1.30250000 59.94373640
1.30300000 59.96490030
1.30350000 60.05003933
1.30400000 60.07516091
1.30450000 60.15859416
1.30500000 60.15464823
1.30550000 60.18056224
1.30600000 60.30863281
1.30650000 60.43694721
1.30700000 60.44725125
1.30750000 60.43725927
1.30800000 60.52086733
1.30850000 60.60742347
1.30900000 60.66818259
1.30950000 60.65718955
1.31000000 60.68836115
1.31050000 60.69101775
1.31100000 60.78154886
1.31150000 60.95543030
1.31200000 60.94879040
1.31250000 61.01969190
1.31300000 61.04463900
1.31350000 61.11177773
1.31400000 61.09132566
1.31450000 61.18083332
1.31500000 61.20140846
1.31550000 61.25700585
1.31600000 61.29134368
1.31650000 61.38625460
1.31700000 61.41671269
1.31750000 61.43383421
1.31800000 61.54953585
1.31850000 61.66971570
1.31900000 61.52729232
1.31950000 61.82996048
1.32000000 61.84917347
1.32050000 61.70409146
1.32100000 61.64973943
1.32150000 61.76187760
1.32200000 62.00632586
1.32250000 62.15643113
1.32300000 62.08426411
1.32350000 62.19540801
1.32400000 62.22610245
1.32450000 62.22176520
1.32500000 62.38481466
1.32550000 62.33558547
1.32600000 62.42543830
1.32650000 62.43996486
1.32700000 62.43960214
1.32750000 62.63602104
1.32800000 62.68742281
1.32850000 62.82071887
1.32900000 62.70232955
1.32950000 62.79663508
1.33000000 62.80334956
1.33050000 62.98994853
1.33100000 62.99703955
1.33150000 63.02340239
1.33200000 63.12398948
1.33250000 63.18328582
1.33300000 63.19085746
1.33350000 63.21099318
1.33400000 63.26120481
1.33450000 63.29448254
1.33500000 63.26039833
1.33550000 63.36459159
1.33600000 63.35573269
1.33650000 63.56693843
1.33700000 63.61040898
1.33750000 63.68191229
1.33800000 63.73383906
1.33850000 63.72152826
1.33900000 63.76161860
1.33950000 63.87734553
1.34000000 64.01660090
1.34050000 64.08572053
1.34100000 63.99022119
1.34150000 64.01198495
1.34200000 64.14664199
1.34250000 64.18441411
1.34300000 64.19852753
1.34350000 64.38518485
1.34400000 64.25866128
1.34450000 64.33762101
1.34500000 64.46105494
1.34550000 64.56881634
1.34600000 64.60826150
1.34650000 64.71204462
1.34700000 64.73133822
1.34750000 64.94917908
1.34800000 64.75469636
1.34850000 64.94352800
1.34900000 64.81021666
1.34950000 64.92777874
1.35000000 65.06674180
1.35050000 65.11815870
1.35100000 65.15296696
1.35150000 65.20855199
1.35200000 65.20180389
1.35250000 65.28002580
1.35300000 65.40660041
1.35350000 65.32243476
1.35400000 65.48617646
1.35450000 65.60752341
1.35500000 65.59487947
1.35550000 65.62830413
1.35600000 65.65984202
1.35650000 65.69758330
1.35700000 65.77385639
1.35750000 65.75241750
1.35800000 65.87829484
1.35850000 65.97414453
1.35900000 66.00340968
1.35950000 66.00622558
1.36000000 66.09005354
1.36050000 66.20319498
1.36100000 66.22149590
1.36150000 66.26143025
1.36200000 66.30757119
1.36250000 66.34807390
1.36300000 66.46977432
1.36350000 66.52276615
1.36400000 66.50222032
1.36450000 66.59457281
1.36500000 66.63427126
1.36550000 66.64110005
1.36600000 66.79782503
1.36650000 66.82090378
1.36700000 66.85123586
1.36750000 66.91690712
1.36800000 66.97736555
1.36850000 66.99304869
1.36900000 66.98687459
1.36950000 67.12271629
1.37000000 67.14638563
1.37050000 67.23416891
1.37100000 67.27768617
1.37150000 67.36705598
1.37200000 67.28773955
1.37250000 67.46066819
1.37300000 67.41014653
1.37350000 67.50416781
1.37400000 67.55628554
1.37450000 67.61386867
1.37500000 67.61066871
1.37550000 67.71205143
1.37600000 67.79725266
1.37650000 67.79790330
1.37700000 67.77527574
1.37750000 67.95320421
1.37800000 67.95658513
1.37850000 68.05179193
1.37900000 68.20267596
1.37950000 68.14845502
