Frequency(GHz) s21
1.20000000 -10.52305155
1.20050000 -10.52943320
1.20100000 -10.52807868
1.20150000 -10.51320296
1.20200000 -10.52458321
1.20250000 -10.49793221
1.20300000 -10.52062815
1.20350000 -10.50397527
1.20400000 -10.50714397
1.20450000 -10.49273615
1.20500000 -10.49833964
1.20550000 -10.50741714
1.20600000 -10.48709002
1.20650000 -10.48888941
1.20700000 -10.49031136
1.20750000 -10.48208603
1.20800000 -10.49988934
1.20850000 -10.49346514
1.20900000 -10.48224491
1.20950000 -10.46280599
1.21000000 -10.47915269
1.21050000 -10.47516369
1.21100000 -10.46964830
1.21150000 -10.47285765
1.21200000 -10.46044479
1.21250000 -10.46927362
1.21300000 -10.44962539
1.21350000 -10.46805465
1.21400000 -10.47593718
1.21450000 -10.46604547
1.21500000 -10.45687250
1.21550000 -10.46869546
1.21600000 -10.47427245
1.21650000 -10.47172687
1.21700000 -10.46771123
1.21750000 -10.44352169
1.21800000 -10.45102899
1.21850000 -10.45556886
1.21900000 -10.47236098
1.21950000 -10.44288764
1.22000000 -10.45956514
1.22050000 -10.46669389
1.22100000 -10.45924760
1.22150000 -10.45836987
1.22200000 -10.48147973
1.22250000 -10.47183762
1.22300000 -10.46175022
1.22350000 -10.46711632
1.22400000 -10.46744044
1.22450000 -10.47846600
1.22500000 -10.46841100
1.22550000 -10.48016515
1.22600000 -10.46994023
1.22650000 -10.48322254
1.22700000 -10.47087557
1.22750000 -10.46303288
1.22800000 -10.47145879
1.22850000 -10.48298293
1.22900000 -10.46211263
1.22950000 -10.47186935
1.23000000 -10.49061372
1.23050000 -10.48999520
1.23100000 -10.47676410
1.23150000 -10.49889270
1.23200000 -10.48288985
1.23250000 -10.50652418
1.23300000 -10.48927998
1.23350000 -10.50168772
1.23400000 -10.48987839
1.23450000 -10.48454754
1.23500000 -10.50975220
1.23550000 -10.51934384
1.23600000 -10.51240519
1.23650000 -10.51360913
1.23700000 -10.50661407
1.23750000 -10.51633745
1.23800000 -10.52031716
1.23850000 -10.50454121
1.23900000 -10.51106271
1.23950000 -10.52786945
1.24000000 -10.53240944
1.24050000 -10.51644385
1.24100000 -10.52627912
1.24150000 -10.53806443
1.24200000 -10.52819670
1.24250000 -10.53054197
1.24300000 -10.52138859
1.24350000 -10.53393751
1.24400000 -10.53766225
1.24450000 -10.53355612
1.24500000 -10.53726442
1.24550000 -10.51616867
1.24600000 -10.52275116
1.24650000 -10.53209423
1.24700000 -10.52580508
1.24750000 -10.52798548
1.24800000 -10.52412392
1.24850000 -10.55719079
1.24900000 -10.52965078
1.24950000 -10.53321399
1.25000000 -10.54033754
1.25050000 -10.55715739
1.25100000 -10.56506993
1.25150000 -10.53176178
1.25200000 -10.53722153
1.25250000 -10.54925557
1.25300000 -10.55720903
1.25350000 -10.54476654
1.25400000 -10.54278273
1.25450000 -10.54261419
1.25500000 -10.53589436
1.25550000 -10.56007539
1.25600000 -10.55220924
1.25650000 -10.53065536
1.25700000 -10.53930765
1.25750000 -10.54794480
1.25800000 -10.54118660
1.25850000 -10.53720124
1.25900000 -10.53666099
1.25950000 -10.53436574
1.26000000 -10.53081526
1.26050000 -10.52437772
1.26100000 -10.52097799
1.26150000 -10.52947228
1.26200000 -10.52372390
1.26250000 -10.53571560
1.26300000 -10.51066139
1.26350000 -10.52760094
1.26400000 -10.51442126
1.26450000 -10.51358163
1.26500000 -10.51597651
1.26550000 -10.50323763
1.26600000 -10.50099670
1.26650000 -10.49688218
1.26700000 -10.49886388
1.26750000 -10.48597500
1.26800000 -10.49548502
1.26850000 -10.49496783
1.26900000 -10.48025029
1.26950000 -10.49148525
1.27000000 -10.47819303
1.27050000 -10.46626331
1.27100000 -10.47730120
1.27150000 -10.46792301
1.27200000 -10.46075690
1.27250000 -10.46592173
1.27300000 -10.45600787
1.27350000 -10.46462256
1.27400000 -10.44679851
1.27450000 -10.45585366
1.27500000 -10.44677532
1.27550000 -10.44123326
1.27600000 -10.42730195
1.27650000 -10.41758502
1.27700000 -10.42605783
1.27750000 -10.42086963
1.27800000 -10.40096007
1.27850000 -10.39530449
1.27900000 -10.39460847
1.27950000 -10.40060217
1.28000000 -10.39219169
1.28050000 -10.38892746
1.28100000 -10.38179033
1.28150000 -10.37038329
1.28200000 -10.35791518
1.28250000 -10.34643541
1.28300000 -10.34831946
1.28350000 -10.34546302
1.28400000 -10.32509420
1.28450000 -10.33061959
1.28500000 -10.32208659
1.28550000 -10.31993675
1.28600000 -10.30658792
1.28650000 -10.28915271
1.28700000 -10.29351034
1.28750000 -10.29434129
1.28800000 -10.30139091
1.28850000 -10.27494835
1.28900000 -10.27684404
1.28950000 -10.26044809
1.29000000 -10.25263250
1.29050000 -10.24850740
1.29100000 -10.24390143
1.29150000 -10.23473179
1.29200000 -10.22628137
1.29250000 -10.23578687
1.29300000 -10.22297724
1.29350000 -10.19803233
1.29400000 -10.18620870
1.29450000 -10.18355086
1.29500000 -10.18093811
1.29550000 -10.17484749
1.29600000 -10.15502909
1.29650000 -10.15789300
1.29700000 -10.15467526
1.29750000 -10.15397958
1.29800000 -10.14021761
1.29850000 -10.12901800
1.29900000 -10.11084924
1.29950000 -10.12136583
1.30000000 -10.12108330
1.30050000 -10.09905778
1.30100000 -10.09001800
1.30150000 -10.09539097
1.30200000 -10.09134945
1.30250000 -10.06313827
1.30300000 -10.06826654
1.30350000 -10.05360288
1.30400000 -10.04037411
1.30450000 -10.04003378
1.30500000 -10.03196081
1.30550000 -10.04269665
1.30600000 -10.03003614
1.30650000 -10.02179204
1.30700000 -10.00159806
1.30750000 -9.99496145
1.30800000 -9.98609301
1.30850000 -9.99296301
1.30900000 -9.99111288
1.30950000 -9.96401713
1.31000000 -9.95960340
1.31050000 -9.94573852
1.31100000 -9.95614597
1.31150000 -9.94133232
1.31200000 -9.94802209
1.31250000 -9.93051503
1.31300000 -9.92223267
1.31350000 -9.90988952
1.31400000 -9.90900312
1.31450000 -9.90017983
1.31500000 -9.89586603
1.31550000 -9.90540127
1.31600000 -9.89854878
1.31650000 -9.87901877
1.31700000 -9.86411464
1.31750000 -9.87828826
1.31800000 -9.88817114
1.31850000 -9.86287755
1.31900000 -9.84670222
1.31950000 -9.84134921
1.32000000 -9.84462119
1.32050000 -9.84881110
1.32100000 -9.83573427
1.32150000 -9.82304123
1.32200000 -9.82688015
1.32250000 -9.82416181
1.32300000 -9.80877575
1.32350000 -9.81569368
1.32400000 -9.82640180
1.32450000 -9.80952936
1.32500000 -9.78831584
1.32550000 -9.79495970
1.32600000 -9.79496618
1.32650000 -9.78890608
1.32700000 -9.79126737
1.32750000 -9.77138153
1.32800000 -9.76052272
1.32850000 -9.78382932
1.32900000 -9.76721893
1.32950000 -9.77005304
1.33000000 -9.75544704
1.33050000 -9.75973186
1.33100000 -9.77383237
1.33150000 -9.75467206
1.33200000 -9.76787447
1.33250000 -9.74249248
1.33300000 -9.75228651
1.33350000 -9.74473876
1.33400000 -9.74099153
1.33450000 -9.74295563
1.33500000 -9.73906748
1.33550000 -9.74743639
1.33600000 -9.72836751
1.33650000 -9.74310245
1.33700000 -9.73060923
1.33750000 -9.74821926
1.33800000 -9.71785074
1.33850000 -9.71698900
1.33900000 -9.71127915
1.33950000 -9.72978583
1.34000000 -9.71261136
1.34050000 -9.73453463
1.34100000 -9.71817980
1.34150000 -9.69669002
1.34200000 -9.71774060
1.34250000 -9.71878493
1.34300000 -9.73015492
1.34350000 -9.73082925
1.34400000 -9.71406819
1.34450000 -9.71494100
1.34500000 -9.71559570
1.34550000 -9.70814379
1.34600000 -9.70040930
1.34650000 -9.69804720
1.34700000 -9.70948794
1.34750000 -9.69305391
1.34800000 -9.69783819
1.34850000 -9.70882853
1.34900000 -9.70059898
1.34950000 -9.69857660
1.35000000 -9.70200591
1.35050000 -9.70532525
1.35100000 -9.71884507
1.35150000 -9.69242132
1.35200000 -9.69696906
1.35250000 -9.70600109
1.35300000 -9.69212205
1.35350000 -9.70583491
1.35400000 -9.69137967
1.35450000 -9.69268197
1.35500000 -9.69076251
1.35550000 -9.67329869
1.35600000 -9.68578854
1.35650000 -9.69756695
1.35700000 -9.70831940
1.35750000 -9.68975577
1.35800000 -9.67489598
1.35850000 -9.67558396
1.35900000 -9.68938884
1.35950000 -9.68194717
1.36000000 -9.68475754
1.36050000 -9.67901968
1.36100000 -9.70011370
1.36150000 -9.67928767
1.36200000 -9.68382719
1.36250000 -9.67196272
1.36300000 -9.67994600
1.36350000 -9.67054105
1.36400000 -9.67752657
1.36450000 -9.66608931
1.36500000 -9.67139531
1.36550000 -9.66281355
1.36600000 -9.66965313
1.36650000 -9.66478958
1.36700000 -9.66033834
1.36750000 -9.66056108
1.36800000 -9.65154696
