Frequency(GHz) s31_phase
1.20000000 -120.09770711
1.20050000 -120.18339757
1.20100000 -120.26810527
1.20150000 -120.25964589
1.20200000 -120.41514015
1.20250000 -120.43187488
1.20300000 -120.58675603
1.20350000 -120.64575257
1.20400000 -120.68580595
1.20450000 -120.73749875
1.20500000 -120.81465361
1.20550000 -120.95821932
1.20600000 -120.99386142
1.20650000 -121.11258238
1.20700000 -121.20527299
1.20750000 -121.18060924
1.20800000 -121.33207982
1.20850000 -121.33849458
1.20900000 -121.41637278
1.20950000 -121.49677047
1.21000000 -121.58415774
1.21050000 -121.60758054
1.21100000 -121.67358334
1.21150000 -121.78123245
1.21200000 -121.91325158
1.21250000 -121.98979947
1.21300000 -121.98933568
1.21350000 -122.09188784
1.21400000 -122.21784191
1.21450000 -122.28404541
1.21500000 -122.35827884
1.21550000 -122.36712899
1.21600000 -122.44353393
1.21650000 -122.53052836
1.21700000 -122.61715061
1.21750000 -122.65618079
1.21800000 -122.74624607
1.21850000 -122.81019700
1.21900000 -122.84717712
1.21950000 -122.94314707
1.22000000 -122.94101132
1.22050000 -123.10418578
1.22100000 -123.11244903
1.22150000 -123.21609675
1.22200000 -123.33474913
1.22250000 -123.36697143
1.22300000 -123.47558063
1.22350000 -123.46741126
1.22400000 -123.59251927
1.22450000 -123.60528564
1.22500000 -123.59903544
1.22550000 -123.78116945
1.22600000 -123.86171432
1.22650000 -123.90465800
1.22700000 -124.04616747
1.22750000 -124.03302643
1.22800000 -124.08161547
1.22850000 -124.21312799
1.22900000 -124.19015376
1.22950000 -124.28300530
1.23000000 -124.38975542
1.23050000 -124.40884960
1.23100000 -124.40943822
1.23150000 -124.53155538
1.23200000 -124.49049052
1.23250000 -124.55022568
1.23300000 -124.71160073
1.23350000 -124.79134436
1.23400000 -124.79218030
1.23450000 -124.78463724
1.23500000 -124.88732762
1.23550000 -124.88660968
1.23600000 -124.91653362
1.23650000 -125.03923849
1.23700000 -125.05952964
1.23750000 -125.11103086
1.23800000 -125.12167984
1.23850000 -125.18711169
1.23900000 -125.33086976
1.23950000 -125.39707658
1.24000000 -125.37359769
1.24050000 -125.38600872
1.24100000 -125.47595044
1.24150000 -125.45178792
1.24200000 -125.47585767
1.24250000 -125.55995538
1.24300000 -125.66076431
1.24350000 -125.69126777
1.24400000 -125.72466229
1.24450000 -125.72683985
1.24500000 -125.77666836
1.24550000 -125.85694121
1.24600000 -125.89117970
1.24650000 -125.91034158
1.24700000 -125.93964116
1.24750000 -125.93636337
1.24800000 -125.88629221
1.24850000 -126.01593353
1.24900000 -126.03390681
1.24950000 -126.08996293
1.25000000 -126.07572451
1.25050000 -126.13202656
1.25100000 -126.25129996
1.25150000 -126.21782487
1.25200000 -126.26649820
1.25250000 -126.32857391
1.25300000 -126.29252157
1.25350000 -126.38801709
1.25400000 -126.38395697
1.25450000 -126.31840736
1.25500000 -126.44145926
1.25550000 -126.46937678
1.25600000 -126.47030165
1.25650000 -126.51878885
1.25700000 -126.50175151
1.25750000 -126.51089336
1.25800000 -126.62787443
1.25850000 -126.62651482
1.25900000 -126.68098970
1.25950000 -126.63866227
1.26000000 -126.69101123
1.26050000 -126.74143625
1.26100000 -126.64467158
1.26150000 -126.76842693
1.26200000 -126.78294680
1.26250000 -126.81042413
1.26300000 -126.81068732
1.26350000 -126.86526631
1.26400000 -126.87244169
1.26450000 -126.88162899
1.26500000 -126.95353729
1.26550000 -126.91601505
1.26600000 -126.97437250
1.26650000 -126.98729662
1.26700000 -126.94974163
1.26750000 -126.99822512
1.26800000 -127.06095421
1.26850000 -127.10694401
1.26900000 -127.06181756
1.26950000 -127.12751554
1.27000000 -127.17151047
1.27050000 -127.18764870
1.27100000 -127.19943041
1.27150000 -127.17411438
1.27200000 -127.29516155
1.27250000 -127.24535753
1.27300000 -127.28908419
1.27350000 -127.28681904
1.27400000 -127.28959293
1.27450000 -127.39049505
1.27500000 -127.34594138
1.27550000 -127.44785952
1.27600000 -127.44858733
1.27650000 -127.46511844
1.27700000 -127.43259462
1.27750000 -127.56825018
1.27800000 -127.64449928
1.27850000 -127.59929017
1.27900000 -127.70965425
1.27950000 -127.67652054
1.28000000 -127.71630551
1.28050000 -127.72815567
1.28100000 -127.78050195
1.28150000 -127.83015323
1.28200000 -127.87338511
1.28250000 -127.91112276
1.28300000 -127.95709473
1.28350000 -127.99307649
1.28400000 -127.95336352
1.28450000 -128.04921576
1.28500000 -127.99839636
1.28550000 -128.11797971
1.28600000 -128.16514868
1.28650000 -128.17258021
1.28700000 -128.17081909
1.28750000 -128.31125477
1.28800000 -128.33637564
1.28850000 -128.31151060
1.28900000 -128.40639781
1.28950000 -128.40945137
1.29000000 -128.42531907
1.29050000 -128.50567521
1.29100000 -128.45851960
1.29150000 -128.63439735
1.29200000 -128.67321332
1.29250000 -128.60501782
1.29300000 -128.67151220
1.29350000 -128.81188249
1.29400000 -128.80915380
1.29450000 -128.90897225
1.29500000 -128.91342197
1.29550000 -128.98588554
1.29600000 -128.94974561
1.29650000 -129.13385642
1.29700000 -129.21074078
1.29750000 -129.16464128
1.29800000 -129.33245883
1.29850000 -129.30592927
1.29900000 -129.45157171
1.29950000 -129.41944610
1.30000000 -129.57897310
1.30050000 -129.50692417
1.30100000 -129.58187851
1.30150000 -129.63013419
1.30200000 -129.68315041
1.30250000 -129.69572241
1.30300000 -129.78456755
1.30350000 -129.84613206
1.30400000 -129.90743753
1.30450000 -130.04006200
1.30500000 -130.08623201
1.30550000 -130.11231198
1.30600000 -130.26278097
1.30650000 -130.27504938
1.30700000 -130.32297423
1.30750000 -130.35975853
1.30800000 -130.46273911
1.30850000 -130.54299011
1.30900000 -130.57647784
1.30950000 -130.64271517
1.31000000 -130.75728696
