Frequency(GHz) phase_difference
1.20000000 49.81410200
1.20100000 49.91665900
1.20200000 50.01891700
1.20300000 50.11510000
1.20400000 50.21364200
1.20500000 50.32061700
1.20600000 50.42560700
1.20700000 50.53153600
1.20800000 50.63068600
1.20900000 50.72376600
1.21000000 50.82769400
1.21100000 50.93135400
1.21200000 51.03166500
1.21300000 51.12971100
1.21400000 51.24513800
1.21500000 51.34359600
1.21600000 51.44392200
1.21700000 51.55038000
1.21800000 51.65450600
1.21900000 51.76087420
1.22000000 51.86894770
1.22100000 51.97611592
1.22200000 52.08191650
1.22300000 52.18132600
1.22400000 52.29114700
1.22500000 52.39206900
1.22600000 52.50365500
1.22700000 52.60807800
1.22800000 52.71900200
1.22900000 52.82461600
1.23000000 52.93023700
1.23100000 53.03883100
1.23200000 53.14681650
1.23300000 53.25394150
1.23400000 53.35548020
1.23500000 53.46025280
1.23600000 53.57850830
1.23700000 53.68607900
1.23800000 53.79257800
1.23900000 53.89647900
1.24000000 54.00450100
1.24100000 54.11374500
1.24200000 54.21270000
1.24300000 54.32447500
1.24400000 54.43321900
1.24500000 54.54244600
1.24600000 54.64928000
1.24700000 54.76035000
1.24800000 54.85812700
1.24900000 54.97492000
1.25000000 55.07567700
1.25100000 55.17958400
1.25200000 55.29249300
1.25300000 55.39773900
1.25400000 55.50484800
1.25500000 55.60979300
1.25600000 55.71864200
1.25700000 55.82971400
1.25800000 55.93353800
1.25900000 56.04898200
1.26000000 56.15278500
1.26100000 56.26155000
1.26200000 56.36488000
1.26300000 56.47809000
1.26400000 56.58901000
1.26500000 56.69675000
1.26600000 56.79738000
1.26700000 56.91441000
1.26800000 57.01930000
1.26900000 57.12053000
1.27000000 57.23518000
1.27100000 57.33890000
1.27200000 57.45050000
1.27300000 57.55850000
1.27400000 57.66075000
1.27500000 57.77129000
1.27600000 57.87944000
1.27700000 57.98433000
1.27800000 58.09215000
1.27900000 58.19413000
1.28000000 58.29463000
1.28100000 58.41018000
1.28200000 58.51939000
1.28300000 58.62482000
1.28400000 58.72714000
1.28500000 58.83252000
1.28600000 58.94122000
1.28700000 59.04717600
1.28800000 59.15798600
1.28900000 59.26070000
1.29000000 59.36433500
1.29100000 59.47458400
1.29200000 59.58506500
1.29300000 59.68080500
1.29400000 59.79045200
1.29500000 59.90230900
1.29600000 60.00684800
1.29700000 60.11071100
1.29800000 60.22926400
1.29900000 60.33057100
1.30000000 60.44282500
1.30100000 60.54483900
1.30200000 60.65030900
1.30300000 60.75928900
1.30400000 60.86282700
1.30500000 60.97266400
1.30600000 61.07007000
1.30700000 61.18469300
1.30800000 61.29665400
1.30900000 61.39496200
1.31000000 61.50098050
1.31100000 61.60609280
1.31200000 61.71411710
1.31300000 61.81106860
1.31400000 61.92053250
1.31500000 62.02322860
1.31600000 62.12771300
1.31700000 62.23538600
1.31800000 62.33374000
1.31900000 62.43977400
1.32000000 62.54595700
1.32100000 62.64682600
1.32200000 62.75221800
1.32300000 62.85528200
1.32400000 62.96244800
1.32500000 63.06804600
1.32600000 63.16842100
1.32700000 63.27311960
1.32800000 63.38027480
1.32900000 63.47824301
1.33000000 63.59267040
1.33100000 63.68795740
1.33200000 63.80221800
1.33300000 63.91294000
1.33400000 64.01084300
1.33500000 64.11965800
1.33600000 64.22848000
1.33700000 64.34269900
1.33800000 64.44476000
1.33900000 64.55667900
1.34000000 64.66020000
1.34100000 64.76974500
1.34200000 64.87645500
1.34300000 64.98350300
1.34400000 65.08668500
1.34500000 65.20609900
1.34600000 65.30865100
1.34700000 65.41637400
1.34800000 65.52100500
1.34900000 65.63121100
1.35000000 65.74600700
1.35100000 65.85278000
1.35200000 65.95934700
1.35300000 66.07029900
1.35400000 66.16954300
1.35500000 66.27960200
1.35600000 66.38796000
1.35700000 66.48464000
1.35800000 66.60048000
1.35900000 66.70527000
1.36000000 66.80244000
1.36100000 66.90727000
1.36200000 67.01847000
