Frequency(GHz) phase_difference
1.20000000 68.93211100
1.20100000 69.02303200
1.20200000 69.11165300
1.20300000 69.19201300
1.20400000 69.28436000
1.20500000 69.37173700
1.20600000 69.45772300
1.20700000 69.54391500
1.20800000 69.63021600
1.20900000 69.71663600
1.21000000 69.80309700
1.21100000 69.88757200
1.21200000 69.97152900
1.21300000 70.05815500
1.21400000 70.14787500
1.21500000 70.23218800
1.21600000 70.30836100
1.21700000 70.39571800
1.21800000 70.48420700
1.21900000 70.56256000
1.22000000 70.65222500
1.22100000 70.73210900
1.22200000 70.81746000
1.22300000 70.90291800
1.22400000 70.98674000
1.22500000 71.06702100
1.22600000 71.14969900
1.22700000 71.22922800
1.22800000 71.31424200
1.22900000 71.39512300
1.23000000 71.48359600
1.23100000 71.56128200
1.23200000 71.64192500
1.23300000 71.72589900
1.23400000 71.80319500
1.23500000 71.88982000
1.23600000 71.96341700
1.23700000 72.04527100
1.23800000 72.12412700
1.23900000 72.20941500
1.24000000 72.28238900
1.24100000 72.36706600
1.24200000 72.44384700
1.24300000 72.52103900
1.24400000 72.60219100
1.24500000 72.68355800
1.24600000 72.75883200
1.24700000 72.84020600
1.24800000 72.91941400
1.24900000 72.99573400
1.25000000 73.07136900
1.25100000 73.14533000
1.25200000 73.23376300
1.25300000 73.30331700
1.25400000 73.37809700
1.25500000 73.45973100
1.25600000 73.53419300
1.25700000 73.61144200
1.25800000 73.67882900
1.25900000 73.75870400
1.26000000 73.83523300
1.26100000 73.91242900
1.26200000 73.98908400
1.26300000 74.06384400
1.26400000 74.13085500
1.26500000 74.20851500
1.26600000 74.28395900
1.26700000 74.35850700
1.26800000 74.42978300
1.26900000 74.50452700
1.27000000 74.57401400
1.27100000 74.64892200
1.27200000 74.72045700
1.27300000 74.79580400
1.27400000 74.86207500
1.27500000 74.93636100
1.27600000 75.01407900
1.27700000 75.07961500
1.27800000 75.15560400
1.27900000 75.22129700
1.28000000 75.29221400
1.28100000 75.36336500
1.28200000 75.43775900
1.28300000 75.49878900
1.28400000 75.57888500
1.28500000 75.64248400
1.28600000 75.71632500
