Frequency(GHz) s21_phase
1.20000000 130.49263000
1.20100000 126.78348000
1.20200000 123.07204000
1.20300000 119.34637000
1.20400000 115.61401000
1.20500000 111.87989000
1.20600000 108.13667000
1.20700000 104.38892000
1.20800000 100.62871000
1.20900000 96.85473600
1.21000000 93.07995600
1.21100000 89.30279500
1.21200000 85.51576200
1.21300000 81.71703300
1.21400000 77.92379000
1.21500000 74.11399100
1.21600000 70.29750800
1.21700000 66.48024000
1.21800000 62.65304600
1.21900000 58.82916300
1.22000000 54.99556700
1.22100000 51.16147200
1.22200000 47.31972900
1.22300000 43.47433100
1.22400000 39.63007000
1.22500000 35.77791200
1.22600000 31.93272600
1.22700000 28.08458500
1.22800000 24.23757000
1.22900000 20.38460200
1.23000000 16.53744500
1.23100000 12.68940100
1.23200000 8.84067150
1.23300000 4.99459550
1.23400000 1.14657220
1.23500000 -2.69440220
1.23600000 -6.52948570
1.23700000 -10.36846400
1.23800000 -14.20439300
1.23900000 -18.04157800
1.24000000 -21.87103300
1.24100000 -25.70062400
1.24200000 -29.53137200
1.24300000 -33.35677700
1.24400000 -37.17524000
1.24500000 -40.99553300
1.24600000 -44.81466300
1.24700000 -48.62936000
1.24800000 -52.45630300
1.24900000 -56.27018000
1.25000000 -60.09134300
1.25100000 -63.90896600
1.25200000 -67.72741700
1.25300000 -71.54679100
1.25400000 -75.36862200
1.25500000 -79.19130700
1.25600000 -83.01255800
1.25700000 -86.83880600
1.25800000 -90.66892200
1.25900000 -94.49572800
1.26000000 -98.32989500
1.26100000 -102.17091000
1.26200000 -106.00928000
1.26300000 -109.85542000
1.26400000 -113.70021000
1.26500000 -117.55125000
1.26600000 -121.40738000
1.26700000 -125.26270000
1.26800000 -129.12749000
1.26900000 -132.99544000
1.27000000 -136.85846000
1.27100000 -140.73259000
1.27200000 -144.60269000
1.27300000 -148.47772000
1.27400000 -152.35953000
1.27500000 -156.23573000
1.27600000 -160.11716000
1.27700000 -164.00374000
1.27800000 -167.88640000
1.27900000 -171.76833000
1.28000000 -175.65021000
1.28100000 -179.53645000
1.28200000 176.59160000
1.28300000 172.71457000
1.28400000 168.83429000
1.28500000 164.96613000
1.28600000 161.10205000
1.28700000 157.23582000
1.28800000 153.38303000
1.28900000 149.53136000
1.29000000 145.68625000
1.29100000 141.84860000
1.29200000 138.01608000
1.29300000 134.19154000
1.29400000 130.37375000
1.29500000 126.56834000
1.29600000 122.76833000
1.29700000 118.97083000
1.29800000 115.19817000
1.29900000 111.42072000
1.30000000 107.65900000
1.30100000 103.90363000
1.30200000 100.14733000
1.30300000 96.41335300
1.30400000 92.67916100
1.30500000 88.95573400
1.30600000 85.23842600
1.30700000 81.53327200
1.30800000 77.83383200
1.30900000 74.13880900
1.31000000 70.44625100
1.31100000 66.76610600
1.31200000 63.09070600
1.31300000 59.40889700
1.31400000 55.74355300
1.31500000 52.07828900
1.31600000 48.41471900
1.31700000 44.75204500
1.31800000 41.09183900
1.31900000 37.43056900
1.32000000 33.77685500
1.32100000 30.11250900
1.32200000 26.45699100
1.32300000 22.79234700
1.32400000 19.13024500
1.32500000 15.46366100
1.32600000 11.78995000
1.32700000 8.11625960
1.32800000 4.43421080
1.32900000 0.74800301
1.33000000 -2.94093660
1.33100000 -6.64054160
1.33200000 -10.33539300
1.33300000 -14.04347300
1.33400000 -17.76045800
1.33500000 -21.48201900
1.33600000 -25.20693000
1.33700000 -28.93565900
1.33800000 -32.68403200
1.33900000 -36.42792100
1.34000000 -40.18763000
1.34100000 -43.94731500
1.34200000 -47.71971500
1.34300000 -51.49828700
1.34400000 -55.28488500
1.34500000 -59.06285100
1.34600000 -62.86019900
1.34700000 -66.66324600
1.34800000 -70.46799500
1.34900000 -74.27587900
1.35000000 -78.09110300
1.35100000 -81.91156000
1.35200000 -85.73512300
1.35300000 -89.56256100
1.35400000 -93.39222700
1.35500000 -97.22657800
1.35600000 -101.06097000
1.35700000 -104.90064000
1.35800000 -108.73021000
1.35900000 -112.57625000
1.36000000 -116.41985000
1.36100000 -120.26078000
1.36200000 -124.09927000
1.36300000 -127.94212000
1.36400000 -131.78951000
1.36500000 -135.62634000
1.36600000 -139.46399000
1.36700000 -143.30493000
1.36800000 -147.14027000
1.36900000 -150.97940000
1.37000000 -154.81540000
1.37100000 -158.64713000
1.37200000 -162.47755000
1.37300000 -166.30852000
1.37400000 -170.13300000
1.37500000 -173.95763000
1.37600000 -177.78273000
1.37700000 178.39668000
1.37800000 174.57927000
1.37900000 170.76184000
1.38000000 166.95045000
1.38100000 163.13069000
1.38200000 159.32559000
1.38300000 155.51689000
1.38400000 151.71259000
1.38500000 147.90509000
1.38600000 144.10434000
1.38700000 140.30196000
1.38800000 136.50482000
1.38900000 132.70967000
1.39000000 128.91208000
1.39100000 125.11097000
1.39200000 121.31750000
1.39300000 117.52690000
1.39400000 113.72994000
1.39500000 109.93522000
1.39600000 106.14474000
1.39700000 102.35437000
1.39800000 98.55765500
1.39900000 94.76786000
1.40000000 90.97596700
1.40100000 87.18306000
1.40200000 83.39743000
1.40300000 79.59972400
1.40400000 75.80902100
1.40500000 72.01226800
1.40600000 68.21836900
1.40700000 64.41859400
1.40800000 60.62120800
1.40900000 56.82322300
1.41000000 53.02163300
1.41100000 49.22035600
1.41200000 45.41584000
1.41300000 41.60701000
1.41400000 37.80618700
1.41500000 33.99931300
1.41600000 30.18877800
1.41700000 26.37495400
1.41800000 22.55835700
1.41900000 18.74736600
1.42000000 14.93140000
1.42100000 11.11042300
1.42200000 7.29960870
1.42300000 3.47273230
1.42400000 -0.34970224
1.42500000 -4.17094710
1.42600000 -7.99866720
1.42700000 -11.82177700
1.42800000 -15.64991000
1.42900000 -19.47547000
1.43000000 -23.30391100
1.43100000 -27.12885900
1.43200000 -30.95888100
1.43300000 -34.79381600
1.43400000 -38.62175800
1.43500000 -42.44707500
1.43600000 -46.26860400
1.43700000 -50.09952900
1.43800000 -53.92216900
1.43900000 -57.74580000
1.44000000 -61.57391000
1.44100000 -65.39407300
1.44200000 -69.21369200
1.44300000 -73.02523800
1.44400000 -76.84974700
1.44500000 -80.66007200
1.44600000 -84.47674600
1.44700000 -88.28907000
1.44800000 -92.09597800
1.44900000 -95.90217600
1.45000000 -99.70388800
1.45100000 -103.49862000
1.45200000 -107.29607000
1.45300000 -111.09592000
1.45400000 -114.88663000
1.45500000 -118.67577000
1.45600000 -122.45991000
1.45700000 -126.24233000
1.45800000 -130.03270000
1.45900000 -133.80434000
1.46000000 -137.58531000
1.46100000 -141.36060000
1.46200000 -145.13350000
1.46300000 -148.90280000
1.46400000 -152.67096000
1.46500000 -156.43919000
1.46600000 -160.21396000
1.46700000 -163.97765000
1.46800000 -167.74133000
1.46900000 -171.50922000
1.47000000 -175.27592000
1.47100000 -179.03801000
1.47200000 177.19757000
1.47300000 173.43547000
1.47400000 169.66617000
1.47500000 165.89766000
1.47600000 162.13359000
1.47700000 158.36615000
1.47800000 154.59860000
1.47900000 150.82848000
1.48000000 147.05573000
1.48100000 143.28369000
1.48200000 139.50735000
1.48300000 135.73035000
1.48400000 131.94824000
1.48500000 128.16699000
1.48600000 124.37687000
1.48700000 120.59133000
1.48800000 116.80096000
1.48900000 113.00728000
1.49000000 109.21147000
1.49100000 105.40632000
1.49200000 101.60488000
1.49300000 97.79692800
1.49400000 93.98941000
1.49500000 90.16670200
1.49600000 86.35204300
1.49700000 82.53486600
1.49800000 78.70987700
