Frequency(GHz) s21_phase_v2
1.20000000 145.26636000
1.20100000 145.13431000
1.20200000 145.03459000
1.20300000 144.90839000
1.20400000 144.78177000
1.20500000 144.66576000
1.20600000 144.54639000
1.20700000 144.43042000
1.20800000 144.32169000
1.20900000 144.19299000
1.21000000 144.07127000
1.21100000 143.95979000
1.21200000 143.84599000
1.21300000 143.71967000
1.21400000 143.60922000
1.21500000 143.49455000
1.21600000 143.36304000
1.21700000 143.24846000
1.21800000 143.13100000
1.21900000 143.01837000
1.22000000 142.91162000
1.22100000 142.78004000
1.22200000 142.66074000
1.22300000 142.53981000
1.22400000 142.42183000
1.22500000 142.31104000
1.22600000 142.17799000
1.22700000 142.07507000
1.22800000 141.95967000
1.22900000 141.83330000
1.23000000 141.72086000
1.23100000 141.59921000
1.23200000 141.48415000
1.23300000 141.36290000
1.23400000 141.24078000
1.23500000 141.12042000
1.23600000 141.01332000
1.23700000 140.89908000
1.23800000 140.77846000
1.23900000 140.64595000
1.24000000 140.53600000
1.24100000 140.41600000
1.24200000 140.29219000
1.24300000 140.17807000
1.24400000 140.06635000
1.24500000 139.94566000
1.24600000 139.82962000
1.24700000 139.71443000
1.24800000 139.59531000
1.24900000 139.46864000
1.25000000 139.35092000
1.25100000 139.23212000
1.25200000 139.11884000
1.25300000 138.98813000
1.25400000 138.87930000
1.25500000 138.75558000
1.25600000 138.63817000
1.25700000 138.52260000
1.25800000 138.39856000
1.25900000 138.28253000
1.26000000 138.16628000
1.26100000 138.03589000
1.26200000 137.91508000
1.26300000 137.80653000
1.26400000 137.68028000
1.26500000 137.56779000
1.26600000 137.44695000
1.26700000 137.33130000
1.26800000 137.20638000
1.26900000 137.07222000
1.27000000 136.96638000
1.27100000 136.84335000
1.27200000 136.72682000
1.27300000 136.61400000
1.27400000 136.48007000
1.27500000 136.36128000
1.27600000 136.25839000
1.27700000 136.12421000
1.27800000 136.01031000
1.27900000 135.88306000
1.28000000 135.75906000
1.28100000 135.63634000
1.28200000 135.52437000
1.28300000 135.40994000
1.28400000 135.28111000
1.28500000 135.15576000
1.28600000 135.03819000
1.28700000 134.91193000
1.28800000 134.78714000
1.28900000 134.67519000
1.29000000 134.55595000
1.29100000 134.43335000
1.29200000 134.30913000
1.29300000 134.17931000
1.29400000 134.06105000
1.29500000 133.93748000
1.29600000 133.81374000
1.29700000 133.68236000
1.29800000 133.57080000
1.29900000 133.44887000
1.30000000 133.32445000
1.30100000 133.19521000
1.30200000 133.06462000
1.30300000 132.95348000
1.30400000 132.81284000
1.30500000 132.69931000
1.30600000 132.57184000
1.30700000 132.45245000
1.30800000 132.32701000
1.30900000 132.20065000
1.31000000 132.06320000
1.31100000 131.95573000
1.31200000 131.83359000
1.31300000 131.69911000
1.31400000 131.57458000
1.31500000 131.44722000
1.31600000 131.31667000
1.31700000 131.19984000
1.31800000 131.07072000
1.31900000 130.94492000
1.32000000 130.81892000
1.32100000 130.68788000
1.32200000 130.56973000
1.32300000 130.44191000
1.32400000 130.31229000
1.32500000 130.18134000
1.32600000 130.05930000
1.32700000 129.93381000
