Frequency(GHz) s31
1.20000000 -7.48156360
1.20100000 -7.46140150
1.20200000 -7.44002820
1.20300000 -7.41898630
1.20400000 -7.39708380
1.20500000 -7.37547400
1.20600000 -7.35314660
1.20700000 -7.32969520
1.20800000 -7.30626060
1.20900000 -7.28214740
1.21000000 -7.25916580
1.21100000 -7.23572730
1.21200000 -7.21195700
1.21300000 -7.19010070
1.21400000 -7.16774030
1.21500000 -7.14554120
1.21600000 -7.12408350
1.21700000 -7.10305500
1.21800000 -7.08348270
1.21900000 -7.06296830
1.22000000 -7.04506110
1.22100000 -7.02600770
1.22200000 -7.00930690
1.22300000 -6.99226280
1.22400000 -6.97768880
1.22500000 -6.96188550
1.22600000 -6.94820170
1.22700000 -6.93501520
1.22800000 -6.92274570
1.22900000 -6.91083190
1.23000000 -6.90021040
1.23100000 -6.89000270
1.23200000 -6.87957190
1.23300000 -6.87146760
1.23400000 -6.86241670
1.23500000 -6.85559130
1.23600000 -6.84652570
1.23700000 -6.83898400
1.23800000 -6.83085200
1.23900000 -6.82341580
1.24000000 -6.81543110
1.24100000 -6.80900050
1.24200000 -6.80099340
1.24300000 -6.79484130
1.24400000 -6.78780560
1.24500000 -6.78054900
1.24600000 -6.77267410
1.24700000 -6.76553340
1.24800000 -6.75873610
1.24900000 -6.75031660
1.25000000 -6.74206500
1.25100000 -6.73445890
1.25200000 -6.72566600
1.25300000 -6.71716310
1.25400000 -6.70791630
1.25500000 -6.69842820
1.25600000 -6.69034670
1.25700000 -6.68099310
1.25800000 -6.67153640
1.25900000 -6.66191050
1.26000000 -6.65264990
1.26100000 -6.64374970
1.26200000 -6.63440850
1.26300000 -6.62543250
1.26400000 -6.61652520
1.26500000 -6.60789250
1.26600000 -6.59936140
1.26700000 -6.59048030
1.26800000 -6.58269450
1.26900000 -6.57507320
1.27000000 -6.56864260
1.27100000 -6.56214950
1.27200000 -6.55664970
1.27300000 -6.55198620
1.27400000 -6.54738810
1.27500000 -6.54556700
1.27600000 -6.54242370
1.27700000 -6.54101660
1.27800000 -6.54099850
1.27900000 -6.54121300
1.28000000 -6.54339790
1.28100000 -6.54602860
1.28200000 -6.54946950
1.28300000 -6.55401900
1.28400000 -6.55961660
1.28500000 -6.56734090
1.28600000 -6.57450490
1.28700000 -6.58234790
1.28800000 -6.59180260
1.28900000 -6.60317040
1.29000000 -6.61397650
1.29100000 -6.62567950
1.29200000 -6.63835430
1.29300000 -6.65100340
1.29400000 -6.66466760
1.29500000 -6.67889210
1.29600000 -6.69305900
1.29700000 -6.70736460
1.29800000 -6.72169830
1.29900000 -6.73724030
1.30000000 -6.75032710
1.30100000 -6.76547720
1.30200000 -6.77948860
1.30300000 -6.79351570
1.30400000 -6.80657290
1.30500000 -6.81951710
1.30600000 -6.83118300
1.30700000 -6.84292410
1.30800000 -6.85339260
1.30900000 -6.86288260
1.31000000 -6.87223670
1.31100000 -6.87852240
1.31200000 -6.88526920
1.31300000 -6.89152100
1.31400000 -6.89497800
1.31500000 -6.89711860
1.31600000 -6.89943700
1.31700000 -6.89949460
1.31800000 -6.89844940
1.31900000 -6.89593550
1.32000000 -6.89211700
1.32100000 -6.88632060
1.32200000 -6.88002250
1.32300000 -6.87260910
1.32400000 -6.86382680
1.32500000 -6.85281040
1.32600000 -6.84146170
1.32700000 -6.82902000
1.32800000 -6.81486080
1.32900000 -6.79930880
1.33000000 -6.78511000
1.33100000 -6.76834730
1.33200000 -6.75102040
1.33300000 -6.73324730
1.33400000 -6.71521760
1.33500000 -6.69526770
1.33600000 -6.67648220
1.33700000 -6.65652470
1.33800000 -6.63696530
1.33900000 -6.61690570
1.34000000 -6.59546900
1.34100000 -6.57576940
1.34200000 -6.55564260
1.34300000 -6.53541850
1.34400000 -6.51611190
1.34500000 -6.49652530
1.34600000 -6.47785520
1.34700000 -6.45959420
1.34800000 -6.44080730
1.34900000 -6.42383480
1.35000000 -6.40615270
1.35100000 -6.39021400
1.35200000 -6.37379600
1.35300000 -6.35890820
1.35400000 -6.34456680
1.35500000 -6.32950350
1.35600000 -6.31469680
1.35700000 -6.30126760
1.35800000 -6.28928520
1.35900000 -6.27718260
1.36000000 -6.26572040
1.36100000 -6.25652070
1.36200000 -6.24628730
1.36300000 -6.23675820
1.36400000 -6.22849320
1.36500000 -6.22065690
1.36600000 -6.21378850
1.36700000 -6.20682950
1.36800000 -6.19979330
1.36900000 -6.19397690
1.37000000 -6.18747660
1.37100000 -6.18322560
1.37200000 -6.17837910
1.37300000 -6.17345480
1.37400000 -6.16949800
1.37500000 -6.16611430
1.37600000 -6.16153290
1.37700000 -6.15834240
1.37800000 -6.15487810
1.37900000 -6.15108540
1.38000000 -6.14818910
1.38100000 -6.14546490
1.38200000 -6.14213090
1.38300000 -6.13961940
1.38400000 -6.13592620
1.38500000 -6.13234090
1.38600000 -6.12883570
1.38700000 -6.12596750
1.38800000 -6.12198210
1.38900000 -6.11784120
1.39000000 -6.11404940
1.39100000 -6.11036110
1.39200000 -6.10632320
1.39300000 -6.10197160
1.39400000 -6.09797430
1.39500000 -6.09321640
1.39600000 -6.08792400
1.39700000 -6.08194350
1.39800000 -6.07680700
1.39900000 -6.07249020
1.40000000 -6.06628700
1.40100000 -6.06031510
1.40200000 -6.05446860
1.40300000 -6.04780100
1.40400000 -6.04136850
1.40500000 -6.03561690
1.40600000 -6.02823260
1.40700000 -6.02103280
1.40800000 -6.01512150
1.40900000 -6.00848440
1.41000000 -6.00038860
