Frequency(GHz) s31_v1
1.20000000 -4.89119580
1.20100000 -4.88598630
1.20200000 -4.88120170
1.20300000 -4.87845370
1.20400000 -4.87361150
1.20500000 -4.86949250
1.20600000 -4.86500450
1.20700000 -4.86125660
1.20800000 -4.85712960
1.20900000 -4.85278510
1.21000000 -4.84865470
1.21100000 -4.84138680
1.21200000 -4.83832600
1.21300000 -4.83641100
1.21400000 -4.83068420
1.21500000 -4.82584290
1.21600000 -4.82344530
1.21700000 -4.81750300
1.21800000 -4.81249190
1.21900000 -4.80878310
1.22000000 -4.80493740
1.22100000 -4.80089190
1.22200000 -4.79590650
1.22300000 -4.79228350
1.22400000 -4.78748560
1.22500000 -4.78396460
1.22600000 -4.77966400
1.22700000 -4.77540870
1.22800000 -4.77144910
1.22900000 -4.76652570
1.23000000 -4.76297330
1.23100000 -4.75926020
1.23200000 -4.75405690
1.23300000 -4.75114060
1.23400000 -4.74588920
1.23500000 -4.74318220
1.23600000 -4.73793980
1.23700000 -4.73389010
1.23800000 -4.72998290
1.23900000 -4.72637410
1.24000000 -4.72068310
1.24100000 -4.71744490
1.24200000 -4.71269370
1.24300000 -4.70753480
1.24400000 -4.70476340
1.24500000 -4.70163730
1.24600000 -4.69775490
1.24700000 -4.69387960
1.24800000 -4.68893580
1.24900000 -4.68637800
1.25000000 -4.68112610
1.25100000 -4.67800050
1.25200000 -4.67535110
1.25300000 -4.66933920
1.25400000 -4.66652390
1.25500000 -4.66232820
1.25600000 -4.65703010
1.25700000 -4.65425440
1.25800000 -4.65059280
1.25900000 -4.64545820
1.26000000 -4.64295340
1.26100000 -4.63893030
1.26200000 -4.63510660
1.26300000 -4.63103390
1.26400000 -4.62802550
1.26500000 -4.62321040
1.26600000 -4.62029310
1.26700000 -4.61558250
1.26800000 -4.61150220
1.26900000 -4.60896870
1.27000000 -4.60433670
1.27100000 -4.60165120
1.27200000 -4.59718610
1.27300000 -4.59360650
1.27400000 -4.59035110
1.27500000 -4.58748720
1.27600000 -4.58374210
1.27700000 -4.57948730
1.27800000 -4.57576700
1.27900000 -4.57197900
1.28000000 -4.56759600
1.28100000 -4.56456040
1.28200000 -4.56182340
1.28300000 -4.55751510
1.28400000 -4.55456300
1.28500000 -4.55057860
1.28600000 -4.54625560
1.28700000 -4.54313140
1.28800000 -4.54009010
1.28900000 -4.53729150
1.29000000 -4.53220370
1.29100000 -4.52965310
1.29200000 -4.52549410
1.29300000 -4.52220490
1.29400000 -4.51969620
1.29500000 -4.51589920
1.29600000 -4.51325750
1.29700000 -4.51026390
1.29800000 -4.50554700
1.29900000 -4.50314430
1.30000000 -4.49923750
1.30100000 -4.49559740
1.30200000 -4.49479100
1.30300000 -4.49194770
1.30400000 -4.48825740
1.30500000 -4.48304130
1.30600000 -4.48053030
1.30700000 -4.47722580
1.30800000 -4.47431280
1.30900000 -4.47159240
1.31000000 -4.46909760
1.31100000 -4.46598240
1.31200000 -4.46184020
1.31300000 -4.45908160
1.31400000 -4.45691250
1.31500000 -4.45282130
1.31600000 -4.45012190
1.31700000 -4.44642310
1.31800000 -4.44452620
1.31900000 -4.44074770
1.32000000 -4.43748570
1.32100000 -4.43481160
1.32200000 -4.43176170
1.32300000 -4.42961070
1.32400000 -4.42624760
1.32500000 -4.42441270
1.32600000 -4.42090700
1.32700000 -4.41894530
1.32800000 -4.41483690
1.32900000 -4.41141180
1.33000000 -4.40861850
1.33100000 -4.40671350
1.33200000 -4.40436460
1.33300000 -4.40280490
1.33400000 -4.39866690
1.33500000 -4.39520650
1.33600000 -4.39384510
1.33700000 -4.39004230
1.33800000 -4.38719270
1.33900000 -4.38517090
1.34000000 -4.38227370
1.34100000 -4.37970880
1.34200000 -4.37723060
1.34300000 -4.37461760
1.34400000 -4.37309600
1.34500000 -4.37065320
1.34600000 -4.36647180
1.34700000 -4.36517140
1.34800000 -4.36324690
1.34900000 -4.35972880
1.35000000 -4.35727880
1.35100000 -4.35566140
1.35200000 -4.35230210
1.35300000 -4.34972100
1.35400000 -4.34789130
1.35500000 -4.34591440
1.35600000 -4.34206680
1.35700000 -4.34084610
1.35800000 -4.33774660
1.35900000 -4.33518740
1.36000000 -4.33222680
1.36100000 -4.33054070
1.36200000 -4.32865670
1.36300000 -4.32619290
1.36400000 -4.32439090
1.36500000 -4.32281210
1.36600000 -4.32140870
1.36700000 -4.31616020
1.36800000 -4.31805990
1.36900000 -4.31277370
1.37000000 -4.31159780
1.37100000 -4.30939870
1.37200000 -4.30696820
1.37300000 -4.30475810
1.37400000 -4.30293230
1.37500000 -4.30107310
1.37600000 -4.29901120
1.37700000 -4.29771570
1.37800000 -4.29531150
1.37900000 -4.29220060
1.38000000 -4.29109570
1.38100000 -4.28930230
1.38200000 -4.28807880
1.38300000 -4.28668400
1.38400000 -4.28274680
1.38500000 -4.28224040
1.38600000 -4.27934600
1.38700000 -4.27937220
1.38800000 -4.27625940
1.38900000 -4.27378460
1.39000000 -4.27295490
1.39100000 -4.27090880
1.39200000 -4.26978540
1.39300000 -4.26605460
1.39400000 -4.26526830
1.39500000 -4.26331000
1.39600000 -4.26165870
1.39700000 -4.26065020
1.39800000 -4.25860450
1.39900000 -4.25734660
1.40000000 -4.25487850
1.40100000 -4.25262690
1.40200000 -4.25112390
1.40300000 -4.25054360
1.40400000 -4.24766680
1.40500000 -4.24751380
1.40600000 -4.24450110
1.40700000 -4.24439950
1.40800000 -4.24276490
1.40900000 -4.24121760
1.41000000 -4.23883250
1.41100000 -4.23798560
1.41200000 -4.23574350
1.41300000 -4.23548130
1.41400000 -4.23321390
1.41500000 -4.23263220
1.41600000 -4.22977780
1.41700000 -4.22912550
1.41800000 -4.22835970
1.41900000 -4.22582290
1.42000000 -4.22596220
1.42100000 -4.22437140
1.42200000 -4.22126050
1.42300000 -4.22002650
1.42400000 -4.21914100
1.42500000 -4.21739630
1.42600000 -4.21634910
1.42700000 -4.21582560
1.42800000 -4.21346860
1.42900000 -4.21178580
1.43000000 -4.21114300
1.43100000 -4.20914980
1.43200000 -4.20827250
1.43300000 -4.20728680
1.43400000 -4.20580050
1.43500000 -4.20423700
1.43600000 -4.20439910
1.43700000 -4.20252040
1.43800000 -4.20152850
1.43900000 -4.20010660
1.44000000 -4.19819120
1.44100000 -4.19744590
1.44200000 -4.19698100
1.44300000 -4.19664430
1.44400000 -4.19491240
1.44500000 -4.19346950
1.44600000 -4.19271560
1.44700000 -4.19140390
1.44800000 -4.19111730
1.44900000 -4.18922850
1.45000000 -4.18872980
1.45100000 -4.18854480
1.45200000 -4.18704510
1.45300000 -4.18557790
1.45400000 -4.18527980
1.45500000 -4.18369910
1.45600000 -4.18258090
1.45700000 -4.18046280
1.45800000 -4.18084190
1.45900000 -4.17892170
1.46000000 -4.17968510
1.46100000 -4.17774820
1.46200000 -4.17755220
1.46300000 -4.17589520
1.46400000 -4.17477750
1.46500000 -4.17458060
1.46600000 -4.17355970
1.46700000 -4.17372800
1.46800000 -4.17242430
1.46900000 -4.17149310
1.47000000 -4.17175870
1.47100000 -4.16967820
1.47200000 -4.16983080
1.47300000 -4.16870740
1.47400000 -4.16781520
1.47500000 -4.16772030
1.47600000 -4.16729930
1.47700000 -4.16697650
1.47800000 -4.16582010
1.47900000 -4.16536810
1.48000000 -4.16326480
1.48100000 -4.16300060
1.48200000 -4.16371490
1.48300000 -4.16244360
1.48400000 -4.16174460
1.48500000 -4.16101410
1.48600000 -4.16095780
1.48700000 -4.16021060
