!CSV A.01.01
!Keysight Technologies,N5242B,US61255121,A.15.50.07
!Date: Friday, October 24, 2025 17:18:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Output(DB),Output(DEG)
2180000000,-88.602806,70.133316
2180003333.6111,-90.479866,-130.48308
2180006667.2223,-88.713905,-52.06525
2180010000.8334,-89.562927,98.48259
2180013334.4445,-90.000763,-67.647919
2180016668.0557,-87.082642,-26.464302
2180020001.6668,-88.829239,77.938705
2180023335.2779,-90.036697,44.269608
2180026668.8891,-90.290108,47.044716
2180030002.5002,-91.827003,-14.09326
2180033336.1113,-88.557808,77.883835
2180036669.7225,-88.566071,-65.652916
2180040003.3336,-89.186775,-66.523582
2180043336.9447,-90.329208,-20.716789
2180046670.5559,-88.644623,-31.113138
2180050004.167,-89.58815,-83.742111
2180053337.7781,-87.946449,-10.43854
2180056671.3893,-88.468658,-53.823555
2180060005.0004,-88.590218,80.664223
2180063338.6116,-87.677902,-113.84632
2180066672.2227,-89.960327,17.0833
2180070005.8338,-90.076286,-157.11508
2180073339.445,-89.575348,-146.66104
2180076673.0561,-87.726387,33.615162
2180080006.6672,-87.664078,-116.83104
2180083340.2784,-87.721481,-127.91447
2180086673.8895,-91.324112,-178.96089
2180090007.5006,-91.781616,-21.383047
2180093341.1118,-87.771751,-76.448433
2180096674.7229,-88.98642,-10.031715
2180100008.334,-86.49221,97.099487
2180103341.9452,-90.193649,-165.01744
2180106675.5563,-88.299416,1.4974829
2180110009.1674,-89.031998,63.048092
2180113342.7786,-88.779137,-157.53812
2180116676.3897,-89.439888,12.73183
2180120010.0008,-89.243332,110.47562
2180123343.612,-89.474236,96.239555
2180126677.2231,-88.853622,4.2676468
2180130010.8342,-87.637047,-133.21819
2180133344.4454,-88.868896,27.287952
2180136678.0565,-89.197701,-23.488314
2180140011.6676,-88.14225,64.524406
2180143345.2788,-89.272903,164.60429
2180146678.8899,-88.589806,-107.6175
2180150012.501,-91.195816,-141.74562
2180153346.1122,-90.047028,10.035735
2180156679.7233,-88.219009,73.294426
2180160013.3344,-89.730019,-90.898178
2180163346.9456,-87.29731,-21.789967
2180166680.5567,-88.839676,-85.408295
2180170014.1678,-88.916458,20.573559
2180173347.779,-90.529137,172.67436
2180176681.3901,-86.33667,-83.601608
2180180015.0013,-90.085022,30.148968
2180183348.6124,-88.261223,80.775665
2180186682.2235,-89.210762,173.81442
2180190015.8347,-88.715637,159.48927
2180193349.4458,-91.245659,-130.88741
2180196683.0569,-88.364136,46.158146
2180200016.6681,-89.390213,134.92131
2180203350.2792,-86.9851,-116.67388
2180206683.8903,-88.597847,102.69669
2180210017.5015,-87.931755,-148.9581
2180213351.1126,-88.049728,-136.59547
2180216684.7237,-90.081261,-148.30577
2180220018.3349,-88.615982,20.688259
2180223351.946,-90.436127,109.14378
2180226685.5571,-88.881943,-109.70546
2180230019.1683,-89.927505,-100.4563
2180233352.7794,-88.526016,78.755569
2180236686.3905,-88.128105,-12.811713
2180240020.0017,-87.702187,116.6819
2180243353.6128,-89.349915,41.705147
2180246687.2239,-88.713051,51.966084
2180250020.8351,-87.132484,100.0963
2180253354.4462,-89.427864,38.461956
2180256688.0573,-88.861382,105.73342
2180260021.6685,-86.398758,19.27549
2180263355.2796,-88.240349,-169.71523
2180266688.8907,-87.338593,-56.293774
2180270022.5019,-91.981277,-179.72459
2180273356.113,-89.370842,-33.141483
2180276689.7241,-87.928467,89.132477
2180280023.3353,-89.571091,-142.2319
2180283356.9464,-87.586014,-78.835075
2180286690.5575,-88.218864,152.16977
2180290024.1687,-89.827072,-127.80253
2180293357.7798,-89.381714,122.01633
2180296691.3909,-86.545021,90.711411
2180300025.0021,-87.068741,-35.138683
2180303358.6132,-91.982712,151.32571
2180306692.2244,-89.759354,-116.77888
2180310025.8355,-89.641884,-169.5453
2180313359.4466,-89.081024,-8.2342033
