level	number	indep(index, 1)	PAE_contours[0, 0, ::]
3.63773793018164948E1	1	0	6.17561290090887205E-1 / 9.44771997193970847E1
3.63773793018164948E1	1	1	6.17544001197598114E-1 / 9.44784978247605167E1
3.63773793018164948E1	1	2	6.17526695093561262E-1 / 9.44797676913320217E1
3.63773793018164948E1	1	3	6.17509374767276409E-1 / 9.44810088107407431E1
3.63773793018164948E1	1	4	6.17492043207231056E-1 / 9.44822206745305415E1
3.63773793018164948E1	1	5	6.17474703401929137E-1 / 9.44834027741610960E1
3.63773793018164948E1	1	6	6.17457358339918549E-1 / 9.44845546010093962E1
3.63773793018164948E1	1	7	6.17440011009820111E-1 / 9.44856756463710745E1
3.63773793018164948E1	1	8	6.17422664400356425E-1 / 9.44867654014618275E1
3.63773793018164948E1	1	9	6.17405321500381810E-1 / 9.44878233574189252E1
3.63773793018164948E1	1	10	6.17387985298912145E-1 / 9.44888490053027752E1
3.63773793018164948E1	1	11	6.17353344948542659E-1 / 9.44908013407173186E1

level	number	indep(index, 1)	PAE_contours[0, 1, ::]
3.63773793018164948E1	2	0	6.18688158635854357E-1 / 9.42946796042262214E1
3.63773793018164948E1	2	1	6.18686872400458032E-1 / 9.42963311176900554E1
3.63773793018164948E1	2	2	6.18685324469957187E-1 / 9.42979963943936994E1
3.63773793018164948E1	2	3	6.18683512226347432E-1 / 9.42996757541525810E1
3.63773793018164948E1	2	4	6.18681433052137653E-1 / 9.43013695168501798E1
3.63773793018164948E1	2	5	6.18679084330359430E-1 / 9.43030780024398396E1
3.63773793018164948E1	2	6	6.18676463444575919E-1 / 9.43048015309468113E1
3.63773793018164948E1	2	7	6.18673567778890021E-1 / 9.43065404224703485E1
3.63773793018164948E1	2	8	6.18670394717954952E-1 / 9.43082949971857154E1
3.63773793018164948E1	2	9	6.18666941646981527E-1 / 9.43100655753462291E1
3.63773793018164948E1	2	10	6.18663205951750061E-1 / 9.43118524772854627E1
3.63773793018164948E1	2	11	6.18659185961086511E-1 / 9.43136558864165941E1
3.63773793018164948E1	2	12	6.18654883773898856E-1 / 9.43154754381965788E1
3.63773793018164948E1	2	13	6.18650302431115762E-1 / 9.43173106310820231E1
3.63773793018164948E1	2	14	6.18645444973111491E-1 / 9.43191609635216466E1
3.63773793018164948E1	2	15	6.18640314439690453E-1 / 9.43210259339532442E1
3.63773793018164948E1	2	16	6.18634913870074765E-1 / 9.43229050408008440E1
3.63773793018164948E1	2	17	6.18629246302888181E-1 / 9.43247977824717232E1
3.63773793018164948E1	2	18	6.18623314776145161E-1 / 9.43267036573534590E1
3.63773793018164948E1	2	19	6.18617122327237112E-1 / 9.43286221638113709E1
3.63773793018164948E1	2	20	6.18610671992920302E-1 / 9.43305528001855187E1
3.63773793018164948E1	2	21	6.18603966809304140E-1 / 9.43324950647881444E1
3.63773793018164948E1	2	22	6.18597009811839982E-1 / 9.43344484559009189E1
3.63773793018164948E1	2	23	6.18589804035310209E-1 / 9.43364124717724728E1
3.63773793018164948E1	2	24	6.18582352513818190E-1 / 9.43383866106156432E1
3.63773793018164948E1	2	25	6.18574658280778156E-1 / 9.43403703706051289E1
3.63773793018164948E1	2	26	6.18566724368905696E-1 / 9.43423632498749143E1
3.63773793018164948E1	2	27	6.18558553810209322E-1 / 9.43443647465159785E1
3.63773793018164948E1	2	28	6.18550149635981850E-1 / 9.43463743585737902E1
