time	ts(Vload)
0.00000000000000000E0	3.97504301954350270E0
3.55113636363636420E-12	3.49337828086263746E0
7.10227272727272840E-12	3.00306404559529039E0
1.06534090909090917E-11	2.50498650332270145E0
1.42045454545454564E-11	2.00007483538199038E0
1.77556818181818210E-11	1.48932217182029913E0
2.13068181818181834E-11	9.73802775707781443E-1
2.48579545454545503E-11	4.54683799412113299E-1
2.84090909090909127E-11	-6.67695255161574686E-2
3.19602272727272707E-11	-5.89195835489597641E-1
3.55113636363636420E-11	-1.11114672563424044E0
3.90625000000000000E-11	-1.63110247244614714E0
4.26136363636363669E-11	-2.14749343192410880E0
4.61647727272727337E-11	-2.65872579978852608E0
4.97159090909091006E-11	-3.16321015533161587E0
5.32670454545454586E-11	-3.65939103604481408E0
5.68181818181818254E-11	-4.14577570463827705E0
6.03693181818181746E-11	-4.62096027459845970E0
6.39204545454545414E-11	-5.08365146061204598E0
6.74715909090909172E-11	-5.53268242483998396E0
7.10227272727272840E-11	-5.96702150766611616E0
7.45738636363636331E-11	-6.38577306521035304E0
7.81250000000000000E-11	-6.78817017756490237E0
8.16761363636363491E-11	-7.17355961768570349E0
8.52272727272727337E-11	-7.54138013946672903E0
8.87784090909091006E-11	-7.89113579605953319E0
9.23295454545454675E-11	-8.22236656500200702E0
9.58806818181817988E-11	-8.53461896008965759E0
9.94318181818182012E-11	-8.82741948258099995E0
1.02982954545454541E-10	-9.10025365579575940E0
1.06534090909090917E-10	-9.35255297565064581E0
1.10085227272727271E-10	-9.58369140974481581E0
1.13636363636363646E-10	-9.79299214322340106E0
1.17187500000000000E-10	-9.97974419158638071E0
1.20738636363636354E-10	-1.01432273979583476E1
1.24289772727272751E-10	-1.02827433388262102E1
1.27840909090909083E-10	-1.03976489090319446E1
1.31392045454545459E-10	-1.04873889539386189E1
1.34943181818181834E-10	-1.05515243360939825E1
1.38494318181818166E-10	-1.05897522862476379E1
1.42045454545454564E-10	-1.06019167574431128E1
1.45596590909090939E-10	-1.05880076829036840E1
1.49147727272727271E-10	-1.05481493933312098E1
1.52698863636363646E-10	-1.04825798064642206E1
1.56250000000000000E-10	-1.03916231823566174E1
1.59801136363636354E-10	-1.02756600789380292E1
